cells,sample_id,group_id
cy78_CD45_neg_1_F02_S542_comb,Mel78,ICB_treated
CY89CORE11_A05_S101_comb,Mel89,treatment_naive
CY89CORE11_B06_S114_comb,Mel89,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E08_S56_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_C07_S223_comb,Mel79,treatment_naive
cy78_CD45_neg_3_G07_S751_comb,Mel78,ICB_treated
CY89NEG_A06_S6_comb,Mel89,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_B04_S1072_comb,Mel79,treatment_naive
Cy81_FNA_CD45_F02_S350_comb,Mel81,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_H01_S1141_comb,Mel79,treatment_naive
CY89CORE11_D09_S141_comb,Mel89,treatment_naive
cy78_CD45_neg_1_F10_S550_comb,Mel78,ICB_treated
cy79_p4_CD45_neg_PDL1_pos_H11_S479_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_H09_S1053_comb,Mel81,treatment_naive
cy78_CD45_neg_3_E05_S725_comb,Mel78,ICB_treated
cy78_CD45_neg_1_H04_S568_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A07_S7_comb,Mel79,treatment_naive
CY89FNAQ2_B02_S398_comb,Mel89,treatment_naive
Cy71_CD45_H06_S570_comb,Mel71,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_D09_S237_comb,Mel79,treatment_naive
CY88_5_B12_S696_comb,Mel88,ICB_treated
CY88_3_H10_S670_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B11_S119_comb,Mel79,treatment_naive
CY89FNAQ2_C04_S412_comb,Mel89,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_E10_S730_comb,Mel79,treatment_naive
Cy80_II_CD45_B09_S885_comb,Mel80,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_G02_S746_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G02_S170_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_E05_S245_comb,Mel79,treatment_naive
CY88_5_H05_S761_comb,Mel88,ICB_treated
Cy81_FNA_CD45_H12_S384_comb,Mel81,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_G04_S844_comb,Mel79,treatment_naive
CY88_5_D08_S716_comb,Mel88,ICB_treated
cy79_p4_CD45_neg_PDL1_pos_B11_S407_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_B11_S215_comb,Mel79,treatment_naive
CY88_3_B12_S600_comb,Mel88,ICB_treated
cy81_FNA_CD45_neg_F02_S1022_comb,Mel81,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_D05_S425_comb,Mel79,treatment_naive
cy94_cd45neg_cd90pos_A11_S299_comb,Mel94,ICB_treated
cy60_1_cd_45_neg_3_F06_S546_comb,Mel60,ICB_treated
cy79_p4_CD45_neg_PDL1_pos_D01_S421_comb,Mel79,treatment_naive
CY88_5_D10_S718_comb,Mel88,ICB_treated
CY89NEG_H06_S90_comb,Mel89,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H03_S375_comb,Mel79,treatment_naive
Cy81_Bulk_CD45_E08_S152_comb,Mel81,treatment_naive
CY89FNAQ2_H03_S471_comb,Mel89,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_H09_S1149_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_B04_S976_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F11_S167_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_F03_S1119_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_C04_S412_comb,Mel79,treatment_naive
Cy80_II_CD45_G09_S945_comb,Mel80,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_G05_S749_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_F06_S450_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C04_S316_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F06_S162_comb,Mel79,treatment_naive
CY88_3_C12_S612_comb,Mel88,ICB_treated
Cy80_II_CD45_D09_S909_comb,Mel80,treatment_naive
cy81_FNA_CD45_neg_E12_S1020_comb,Mel81,treatment_naive
cy78_CD45_neg_3_G09_S753_comb,Mel78,ICB_treated
cy79_p4_CD45_neg_PDL1_neg_A12_S1068_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_B11_S1079_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_A05_S773_comb,Mel79,treatment_naive
Cy71_CD45_D11_S527_comb,Mel71,treatment_naive
cy80_CD45_neg_D03_S903_comb,Mel80,treatment_naive
cy78_CD45_neg_1_B08_S500_comb,Mel78,ICB_treated
cy81_Bulk_CD45_neg_E09_S153_comb,Mel81,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_B06_S210_comb,Mel79,treatment_naive
cy78_CD45_neg_3_D07_S715_comb,Mel78,ICB_treated
cy79_p5_CD45_neg_PDL1_neg_F05_S833_comb,Mel79,treatment_naive
cy80_CD45_neg_B01_S877_comb,Mel80,treatment_naive
Cy81_Bulk_CD45_B09_S117_comb,Mel81,treatment_naive
cy78_CD45_neg_1_A03_S483_comb,Mel78,ICB_treated
cy79_p5_CD45_neg_PDL1_neg_H06_S858_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_A03_S1059_comb,Mel79,treatment_naive
cy78_CD45_neg_1_F08_S548_comb,Mel78,ICB_treated
cy60_1_cd_45_neg_3_C10_S514_comb,Mel60,ICB_treated
CY88_3_C08_S608_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A12_S108_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_H10_S862_comb,Mel79,treatment_naive
Cy71_CD45_G09_S561_comb,Mel71,treatment_naive
cy80_CD45_neg_C09_S897_comb,Mel80,treatment_naive
Cy71_CD45_F11_S551_comb,Mel71,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B04_S304_comb,Mel79,treatment_naive
cy78_CD45_neg_3_D08_S716_comb,Mel78,ICB_treated
cy79_p5_CD45_neg_PDL1_pos_E03_S723_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F04_S160_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_C12_S420_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C08_S128_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_E08_S728_comb,Mel79,treatment_naive
cy80_CD45_neg_D07_S907_comb,Mel80,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F03_S63_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_H07_S859_comb,Mel79,treatment_naive
cy80_CD45_neg_A03_S867_comb,Mel80,treatment_naive
Cy81_FNA_CD45_B10_S310_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H07_S187_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B07_S115_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_G09_S849_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_C09_S801_comb,Mel79,treatment_naive
CY88_5_E02_S722_comb,Mel88,ICB_treated
cy80_CD45_neg_H09_S957_comb,Mel80,treatment_naive
cy53_1_CD45_neg_E12_S348_comb,Mel53,treatment_naive
cy80_CD45_neg_H02_S950_comb,Mel80,treatment_naive
cy78_CD45_neg_2_C05_S605_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G04_S172_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_G03_S843_comb,Mel79,treatment_naive
cy78_CD45_neg_1_G04_S556_comb,Mel78,ICB_treated
cy78_CD45_neg_1_D05_S521_comb,Mel78,ICB_treated
Cy71_CD45_H10_S574_comb,Mel71,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_D12_S432_comb,Mel79,treatment_naive
cy81_Bulk_CD45_neg_C08_S128_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G07_S79_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_A08_S392_comb,Mel79,treatment_naive
cy78_CD45_neg_1_C10_S514_comb,Mel78,ICB_treated
cy78_CD45_neg_3_D09_S717_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G12_S180_comb,Mel79,treatment_naive
Cy81_FNA_CD45_H10_S382_comb,Mel81,treatment_naive
Cy80_II_CD45_B02_S878_comb,Mel80,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B10_S310_comb,Mel79,treatment_naive
cy80_CD45_neg_E01_S913_comb,Mel80,treatment_naive
Cy81_FNA_CD45_B11_S311_comb,Mel81,treatment_naive
cy81_Bulk_CD45_neg_C04_S124_comb,Mel81,treatment_naive
CY88_3_G07_S655_comb,Mel88,ICB_treated
Cy81_Bulk_CD45_B12_S120_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G03_S75_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_F11_S455_comb,Mel79,treatment_naive
cy78_CD45_neg_3_B08_S692_comb,Mel78,ICB_treated
cy78_CD45_neg_3_C09_S705_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G09_S81_comb,Mel79,treatment_naive
CY88_5_F11_S743_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B04_S112_comb,Mel79,treatment_naive
cy80_CD45_neg_H03_S951_comb,Mel80,treatment_naive
cy78_CD45_neg_1_H02_S566_comb,Mel78,ICB_treated
CY88_5_C09_S705_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C10_S34_comb,Mel79,treatment_naive
cy81_Bulk_CD45_neg_B03_S111_comb,Mel81,treatment_naive
cy81_Bulk_CD45_neg_E08_S152_comb,Mel81,treatment_naive
cy84_Primary_CD45_neg_G07_S1039_comb,Mel84,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_D06_S1098_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_B09_S1077_comb,Mel79,treatment_naive
Cy71_CD45_A10_S490_comb,Mel71,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_B10_S406_comb,Mel79,treatment_naive
Cy80_II_CD45_F12_S936_comb,Mel80,treatment_naive
cy80_CD45_neg_D10_S910_comb,Mel80,treatment_naive
Cy80_II_CD45_B06_S882_comb,Mel80,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_F02_S734_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_G07_S847_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E11_S59_comb,Mel79,treatment_naive
Cy71_CD45_F10_S550_comb,Mel71,treatment_naive
cy84_Primary_CD45_neg_A03_S963_comb,Mel84,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C07_S127_comb,Mel79,treatment_naive
Cy71_CD45_D09_S525_comb,Mel71,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_H03_S1143_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_H10_S1150_comb,Mel79,treatment_naive
CY89FNAQ2_B10_S406_comb,Mel89,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_D02_S422_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D10_S46_comb,Mel79,treatment_naive
Cy80_II_CD45_F07_S931_comb,Mel80,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_A11_S395_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G06_S78_comb,Mel79,treatment_naive
CY88_5_B03_S687_comb,Mel88,ICB_treated
Cy71_CD45_E10_S538_comb,Mel71,treatment_naive
cy84_Primary_CD45_neg_E12_S1020_comb,Mel84,treatment_naive
CY89NEG_A03_S3_comb,Mel89,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_G07_S1135_comb,Mel79,treatment_naive
cy78_CD45_neg_1_F05_S545_comb,Mel78,ICB_treated
CY88_5_B07_S691_comb,Mel88,ICB_treated
cy79_p4_CD45_neg_PDL1_pos_C10_S418_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_E02_S434_comb,Mel79,treatment_naive
CY88_5_B01_S685_comb,Mel88,ICB_treated
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H02_S374_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_F09_S453_comb,Mel79,treatment_naive
CY89FNAQ2_C01_S409_comb,Mel89,treatment_naive
Cy80_II_CD45_B12_S888_comb,Mel80,treatment_naive
cy80_CD45_neg_D09_S909_comb,Mel80,treatment_naive
CY89CORE11_G08_S176_comb,Mel89,treatment_naive
CY88_3_E10_S634_comb,Mel88,ICB_treated
cy79_p4_CD45_neg_PDL1_neg_C11_S1091_comb,Mel79,treatment_naive
Cy80_II_CD45_A09_S873_comb,Mel80,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_B04_S688_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_E06_S726_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_G03_S1035_comb,Mel81,treatment_naive
cy82_CD45_neg_1_D05_S233_comb,Mel82,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_F11_S839_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_F02_S830_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_G09_S1041_comb,Mel81,treatment_naive
