,beanie_pval,direction,robust,excluded_BRCA_41,excluded_BRCA_10,excluded_BRCA_12,excluded_BRCA_8,excluded_BRCA_40,excluded_BRCA_47,excluded_BRCA_36,excluded_BRCA_49,excluded_BRCA_1,excluded_BRCA_13,excluded_BRCA_42,excluded_BRCA_15,excluded_BRCA_18,excluded_BRCA_50,excluded_BRCA_35,excluded_BRCA_51,excluded_BRCA_37,excluded_BRCA_5,excluded_BRCA_2,excluded_BRCA_27,excluded_BRCA_33,excluded_BRCA_31,excluded_BRCA_20,excluded_BRCA_48,excluded_BRCA_34,excluded_BRCA_3,excluded_BRCA_29,excluded_BRCA_25
REACTOME_INTERFERON_GAMMA_SIGNALING,0.36948000000000003,anti_PD1,False,0.0,10.5,0.5,0.0,0.0,12.0,0.0,0.0,0.5,2.0,0.0,33.0,0.0,0.5,9.0,0.0,5.0,0.0,0.0,0.0,2.5,0.0,22.5,29.0,0.0,11.0,15.0,0.0
REACTOME_INTERFERON_SIGNALING,0.47511000000000003,anti_PD1,False,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.9999600000000001,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.96414,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY,0.9999899999999999,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_II_INTERFERON_SIGNALING,0.7562800000000001,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_III_INTERFERON_SIGNALING,0.9581799999999999,anti_PD1,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
BROWNE_INTERFERON_RESPONSIVE_GENES,0.34215999999999996,anti_PD1,False,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
ZHANG_INTERFERON_RESPONSE,0.28221999999999997,anti_PD1,False,90.0,0.0,0.0,9.0,88.0,0.0,4.0,1.0,3.0,3.0,6.0,0.0,1.0,0.0,1.0,54.0,0.0,0.0,9.0,0.0,1.0,96.0,0.0,0.0,41.0,0.0,0.0,0.0
REACTOME_CYTOPROTECTION_BY_HMOX1,0.7663,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,0.83906,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAM50,0.52076,anti_PD1,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
WU_ET_AL_BASAL_SC,0.04955,anti_PD1,False,0.35,1.3,0.1,0.65,0.06666666666666668,1.5666666666666669,0.0,1.6,0.016666666666666666,1.5166666666666668,0.03333333333333333,1.65,0.55,0.6166666666666667,1.05,0.33333333333333337,0.9166666666666669,1.5,0.23333333333333334,0.0,1.6666666666666667,0.2,1.5666666666666669,0.4666666666666667,0.08333333333333334,1.5166666666666668,0.65,1.15
WU_ET_AL_HER2E_SC,0.31956,anti_PD1,False,0.0,0.0,0.5,0.5,0.0,12.0,0.0,22.5,0.0,1.0,0.0,32.5,2.5,1.0,0.0,0.0,15.5,3.0,0.0,0.0,46.0,0.0,0.5,0.5,0.0,0.0,0.0,29.0
WU_ET_AL_LUMA_SC,0.008320000000000001,anti_PD1,False,0.9292929292929294,0.7575757575757576,0.9797979797979798,0.7272727272727273,0.7676767676767677,1.0101010101010102,0.787878787878788,0.98989898989899,0.5050505050505051,1.0,0.9696969696969696,1.0101010101010102,1.0101010101010102,0.9393939393939394,1.0101010101010102,0.35353535353535354,1.0101010101010102,1.0101010101010102,0.9292929292929294,0.9191919191919192,0.9696969696969696,0.9292929292929294,1.0,0.9191919191919192,0.4747474747474748,1.0101010101010102,0.4545454545454546,1.0101010101010102
WU_EL_AL_LUMB_SC,0.0,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ADIPOGENESIS,0.0197,anti_PD1,False,0.3163265306122449,0.9591836734693876,0.8775510204081632,0.7040816326530612,0.4183673469387755,1.020408163265306,0.5204081632653061,0.8673469387755102,0.5612244897959184,0.9081632653061223,0.4387755102040816,1.020408163265306,0.4693877551020408,0.9591836734693876,0.9591836734693876,0.3775510204081632,1.010204081632653,0.9183673469387756,0.9897959183673468,1.020408163265306,0.2959183673469388,0.836734693877551,1.010204081632653,0.3775510204081632,0.3775510204081632,1.020408163265306,0.7755102040816326,0.979591836734694
HALLMARK_ALLOGRAFT_REJECTION,0.0506,anti_PD1,False,0.037037037037037035,1.6666666666666663,0.2222222222222222,1.2407407407407407,0.018518518518518517,1.4074074074074074,0.3148148148148148,0.9259259259259258,0.35185185185185186,1.2592592592592593,0.037037037037037035,1.5555555555555554,0.7592592592592592,0.8148148148148148,1.3888888888888888,0.0925925925925926,1.4814814814814814,1.648148148148148,0.1111111111111111,0.6666666666666666,1.2407407407407407,0.1111111111111111,1.6111111111111107,1.2407407407407407,0.6666666666666666,1.6111111111111107,0.5740740740740741,1.1296296296296295
HALLMARK_ANDROGEN_RESPONSE,0.03319,anti_PD1,False,0.075,0.9375,0.17500000000000002,0.9625,0.1125,1.1625,1.1749999999999998,0.3125,0.1625,0.9375,0.625,1.25,0.5,0.8375,1.125,0.425,0.375,0.8749999999999999,0.8875,0.9875,0.5375,0.675,0.7749999999999999,0.6124999999999999,0.8749999999999999,0.7625,0.5874999999999999,0.7374999999999999
HALLMARK_ANGIOGENESIS,0.73064,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
HALLMARK_APICAL_JUNCTION,0.5407,anti_PD1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0
HALLMARK_APICAL_SURFACE,0.81577,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
HALLMARK_APOPTOSIS,0.00247,anti_PD1,False,0.87,1.0,0.84,1.0,0.91,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.79,1.0,0.98,0.99,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.78,0.76,1.0,0.99,1.0
HALLMARK_BILE_ACID_METABOLISM,0.17334000000000002,anti_PD1,False,0.045454545454545456,3.0454545454545454,2.5,0.3636363636363637,0.18181818181818185,1.7727272727272727,0.4545454545454546,0.9090909090909092,0.2727272727272727,0.2727272727272727,0.09090909090909093,4.2727272727272725,0.2727272727272727,0.5,2.590909090909091,0.31818181818181823,1.8636363636363635,0.045454545454545456,1.0,2.363636363636364,0.0,0.6818181818181818,2.727272727272727,0.5454545454545454,0.9090909090909092,2.9090909090909087,1.8636363636363635,0.31818181818181823
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.060020000000000004,anti_PD1,False,0.015873015873015872,1.0158730158730158,0.2698412698412699,0.7936507936507936,0.09523809523809523,1.5238095238095235,0.7777777777777778,0.3015873015873016,0.2857142857142857,0.3968253968253968,0.6190476190476191,1.5873015873015872,0.11111111111111112,0.4285714285714286,0.6984126984126984,0.22222222222222224,1.0,0.7777777777777778,0.6666666666666666,0.2380952380952381,0.9682539682539684,0.6825396825396826,0.9206349206349206,1.1746031746031746,0.07936507936507937,1.111111111111111,0.14285714285714285,0.6666666666666666
HALLMARK_COAGULATION,0.06402999999999999,anti_PD1,False,1.2307692307692306,0.10256410256410256,0.0,2.2051282051282053,0.20512820512820512,1.205128205128205,0.41025641025641024,0.923076923076923,0.4358974358974359,2.2051282051282053,1.2564102564102564,1.8205128205128205,1.4615384615384617,2.0512820512820515,0.30769230769230765,0.5641025641025641,1.3846153846153846,2.0,0.07692307692307691,0.41025641025641024,2.2820512820512815,2.435897435897436,0.10256410256410256,0.12820512820512822,0.30769230769230765,2.333333333333333,0.30769230769230765,0.7692307692307692
HALLMARK_COMPLEMENT,0.24411,anti_PD1,False,0.0,0.75,0.0,1.625,0.0,5.75,1.125,0.125,0.25,1.125,0.375,11.375,0.0,2.75,0.125,0.0,2.125,0.8750000000000001,0.0,0.125,1.0,1.7500000000000002,0.25,0.0,0.0,7.000000000000001,2.625,0.0
HALLMARK_DNA_REPAIR,0.8738799999999999,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_E2F_TARGETS,0.71286,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.15648,anti_PD1,False,0.09375,1.7500000000000002,0.0,2.65625,0.75,1.3125,0.3125,0.53125,0.125,2.0,0.03125,3.125,0.21875000000000006,0.5,0.59375,0.21875000000000006,1.71875,1.71875,0.03125,0.0,3.09375,3.0,0.0625,0.0625,0.03125,2.96875,0.28125,0.5
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.00072,anti_PD1,True,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0013599999999999999,anti_PD1,False,0.7,1.0,0.99,1.0,1.0,0.97,1.0,0.95,0.98,1.0,1.0,1.0,0.87,1.0,0.96,1.0,1.0,0.83,0.99,1.0,0.94,0.95,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_FATTY_ACID_METABOLISM,0.0005,anti_PD1,True,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.99,1.0,1.0,1.0
HALLMARK_G2M_CHECKPOINT,0.1608,treatment_naive,False,3.611111111111111,0.05555555555555556,1.8888888888888893,0.2777777777777778,0.3333333333333333,0.22222222222222224,3.722222222222223,0.0,0.16666666666666666,0.4444444444444445,0.6111111111111112,0.0,5.222222222222221,0.05555555555555556,2.6111111111111107,2.5555555555555562,0.7777777777777779,1.8888888888888893,0.05555555555555556,0.5,2.833333333333333,0.22222222222222224,0.5,0.0,1.9444444444444444,0.16666666666666666,0.9444444444444444,2.2777777777777777
HALLMARK_GLYCOLYSIS,0.0020800000000000003,anti_PD1,False,0.97,0.94,0.53,1.0,0.95,1.0,0.79,1.0,0.97,0.95,0.89,1.0,0.66,0.99,0.98,0.82,1.0,1.0,0.93,0.87,1.0,1.0,0.99,0.73,0.97,1.0,0.83,1.0
HALLMARK_HEDGEHOG_SIGNALING,0.59973,treatment_naive,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_HEME_METABOLISM,0.35018,treatment_naive,False,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
HALLMARK_HYPOXIA,0.0002,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_IL2_STAT5_SIGNALING,0.055729999999999995,anti_PD1,False,0.1774193548387097,0.14516129032258066,0.20967741935483872,0.41935483870967744,0.08064516129032259,1.2258064516129032,0.2419354838709677,0.7258064516129032,0.03225806451612903,0.7580645161290323,0.8548387096774194,1.6129032258064515,0.0967741935483871,0.6774193548387096,0.5806451612903225,0.1774193548387097,0.9677419354838708,0.9677419354838708,1.0806451612903227,0.5,1.0161290322580645,1.1774193548387095,1.0161290322580645,0.6290322580645161,0.03225806451612903,1.4677419354838708,0.3225806451612904,1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.09204,anti_PD1,False,0.0,1.2222222222222223,0.5555555555555556,0.38888888888888895,0.05555555555555556,1.2777777777777781,0.3333333333333333,0.6944444444444444,0.08333333333333333,0.7500000000000001,1.1944444444444444,1.2222222222222223,1.1666666666666667,0.3611111111111112,1.6111111111111112,0.08333333333333333,0.9722222222222222,1.5555555555555558,0.7222222222222223,0.8055555555555556,0.9444444444444444,0.38888888888888895,1.3888888888888888,2.527777777777778,0.0,1.8611111111111116,2.1944444444444446,0.11111111111111112
HALLMARK_INFLAMMATORY_RESPONSE,0.08884,anti_PD1,False,0.0,1.2941176470588234,0.2352941176470588,0.5,0.029411764705882356,2.176470588235294,0.6764705882352939,1.0588235294117645,0.5,0.5,1.9705882352941173,2.4705882352941173,1.2058823529411764,0.7647058823529411,1.088235294117647,0.1764705882352941,2.117647058823529,1.5294117647058822,0.1764705882352941,0.29411764705882354,2.294117647058824,0.7647058823529411,1.3823529411764703,1.0,0.08823529411764705,2.5588235294117645,1.9705882352941173,0.7058823529411764
HALLMARK_KRAS_SIGNALING_DN,0.7945800000000001,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_KRAS_SIGNALING_UP,0.96844,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MITOTIC_SPINDLE,0.03492,treatment_naive,False,1.318840579710145,1.028985507246377,1.4347826086956523,0.08695652173913042,1.0,0.7536231884057972,0.8115942028985509,0.8695652173913044,0.9855072463768118,0.8260869565217391,0.42028985507246375,0.0,1.4492753623188408,0.5942028985507246,1.420289855072464,0.6376811594202899,1.420289855072464,1.2608695652173914,0.9710144927536232,0.8405797101449275,1.1304347826086958,0.043478260869565216,1.4347826086956523,0.2608695652173913,1.0144927536231885,1.028985507246377,1.318840579710145,0.8260869565217391
HALLMARK_MTORC1_SIGNALING,0.0007599999999999999,anti_PD1,False,0.89,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,0.94,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.99,1.0
HALLMARK_MYC_TARGETS_V1,0.5562,anti_PD1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_MYC_TARGETS_V2,0.7408899999999999,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_MYOGENESIS,0.32878,anti_PD1,False,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,25.5,0.0,1.5,0.0,1.0,0.0,2.5,0.0,0.0,16.0,0.5,0.0,0.0,1.0,0.5,2.0,0.0
HALLMARK_NOTCH_SIGNALING,0.9156,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.09752000000000001,anti_PD1,False,0.14634146341463414,0.36585365853658536,0.36585365853658536,0.3170731707317073,0.1951219512195122,1.5365853658536586,0.07317073170731707,0.5609756097560976,0.0975609756097561,0.9268292682926829,0.14634146341463414,2.4390243902439024,0.04878048780487805,0.9756097560975612,0.8780487804878049,0.12195121951219512,1.3902439024390243,0.5609756097560976,2.048780487804878,2.292682926829268,0.0,0.024390243902439025,2.2439024390243905,0.024390243902439025,0.2195121951219512,0.9756097560975612,0.2195121951219512,0.7560975609756098
HALLMARK_P53_PATHWAY,0.08849,anti_PD1,False,0.5769230769230769,1.0384615384615383,0.19230769230769232,0.8461538461538461,0.3461538461538461,1.5,0.07692307692307693,1.6153846153846152,0.4230769230769231,3.0384615384615383,1.5769230769230769,3.8461538461538463,0.038461538461538464,1.9230769230769231,0.2692307692307693,0.5384615384615385,1.0,0.6538461538461539,1.8846153846153848,0.4615384615384615,1.0384615384615383,3.0384615384615383,0.6923076923076923,2.5769230769230766,0.0,1.4230769230769231,0.23076923076923075,1.9230769230769231
HALLMARK_PANCREAS_BETA_CELLS,0.09813999999999999,anti_PD1,False,2.4,0.16,0.32,1.48,1.76,1.32,0.76,0.6,0.56,2.72,1.72,0.04,3.44,1.04,0.64,2.44,0.04,2.16,0.52,1.8,0.32,0.8,0.68,0.0,1.72,0.6,3.64,0.04
HALLMARK_PEROXISOME,0.29274,anti_PD1,False,0.0,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.0,1.857142857142857,0.0,0.2857142857142857,0.0,0.0,0.0,11.428571428571427,0.0,0.4285714285714285,0.857142857142857,0.0,0.857142857142857,0.0,0.4285714285714285,1.0,0.0,0.0,2.714285714285714,0.5714285714285714,0.0,2.4285714285714284,0.4285714285714285,0.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.7380399999999999,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PROTEIN_SECRETION,0.59096,anti_PD1,False,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.13035,anti_PD1,False,0.0,1.1111111111111112,0.19444444444444448,0.2777777777777778,0.38888888888888895,1.9166666666666663,0.6388888888888891,0.5833333333333334,0.4166666666666667,0.5555555555555556,0.3333333333333333,2.75,0.05555555555555556,1.1388888888888888,0.5277777777777778,0.3333333333333333,2.5555555555555562,1.0555555555555556,0.7222222222222223,1.1666666666666667,0.08333333333333333,0.25,2.166666666666667,0.16666666666666666,0.4444444444444445,0.9722222222222222,0.05555555555555556,2.583333333333333
HALLMARK_SPERMATOGENESIS,0.73598,treatment_naive,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_TGF_BETA_SIGNALING,0.48066000000000003,treatment_naive,False,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.02221,anti_PD1,False,0.4941176470588236,0.9058823529411764,0.4117647058823529,0.7058823529411765,0.31764705882352945,0.9411764705882354,0.6470588235294118,0.8,0.6705882352941176,0.9411764705882354,1.1176470588235294,1.1764705882352942,0.4588235294117648,0.7176470588235294,0.5411764705882354,0.25882352941176473,1.0352941176470591,0.8705882352941177,0.9176470588235296,0.31764705882352945,0.976470588235294,1.152941176470588,1.0235294117647058,1.1176470588235294,0.05882352941176471,1.1647058823529413,0.7058823529411765,1.0823529411764707
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.05134,anti_PD1,False,0.6891891891891893,0.5540540540540541,0.4594594594594595,0.9189189189189191,0.5405405405405406,1.351351351351351,0.5405405405405406,1.0135135135135136,0.6216216216216216,1.0945945945945947,0.7432432432432433,1.351351351351351,0.06756756756756757,1.0,1.0810810810810811,0.08108108108108109,0.7297297297297298,0.7702702702702702,1.162162162162162,1.2837837837837838,0.24324324324324326,0.24324324324324326,1.337837837837838,0.4324324324324325,0.35135135135135137,0.9864864864864864,0.25675675675675674,1.2432432432432432
HALLMARK_UV_RESPONSE_DN,0.69279,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
