,beanie_pval,direction,robust,excluded_BRCA_10,excluded_BRCA_12,excluded_BRCA_8,excluded_BRCA_1,excluded_BRCA_5,excluded_BRCA_2,excluded_BRCA_20,excluded_BRCA_3,excluded_BRCA_29
ONCOGENIC_IL2_UP.V1_DN,0.9155200000000001,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL2_UP.V1_UP,0.25273,treatment_naive,False,2.5,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0
ONCOGENIC_JAK2_DN.V1_DN,0.14469,treatment_naive,False,0.0,0.0,0.0,0.8333333333333334,13.000000000000002,0.33333333333333337,5.666666666666668,7.666666666666668,0.6666666666666667
ONCOGENIC_JAK2_DN.V1_UP,0.5092800000000001,anti_PD1,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JNK_DN.V1_DN,0.22674,treatment_naive,False,2.0,7.000000000000001,3.0,0.0,0.0,0.0,12.0,0.0,0.0
ONCOGENIC_JNK_DN.V1_UP,0.56007,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_KRAS.300_UP.V1_DN,0.45861999999999997,treatment_naive,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_KRAS.300_UP.V1_UP,0.92927,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.50_UP.V1_DN,0.7804399999999999,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.50_UP.V1_UP,0.7913600000000001,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_DN,0.06881,treatment_naive,False,1.5806451612903225,0.29032258064516125,1.4516129032258065,0.0967741935483871,2.967741935483871,0.06451612903225806,1.0,0.6774193548387096,1.9032258064516128
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_UP,0.59302,treatment_naive,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_KRAS.600_UP.V1_DN,0.33962,treatment_naive,False,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
ONCOGENIC_KRAS.600_UP.V1_UP,0.8757799999999999,anti_PD1,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
ONCOGENIC_KRAS.AMP.LUNG_UP.V1_DN,0.79593,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
