,beanie_pval,direction,robust,excluded_BRCA_4,excluded_BRCA_38,excluded_BRCA_14,excluded_BRCA_32,excluded_BRCA_22,excluded_BRCA_19,excluded_BRCA_9,excluded_BRCA_23,excluded_BRCA_6,excluded_BRCA_7
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_DN,0.58946,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_UP,0.20797,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_LATE.V1_DN,0.20756,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_LATE.V1_UP,0.86461,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_DN,0.53405,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_UP,0.64512,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_LATE.V1_DN,0.16960999999999998,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_GCNP_SHH_UP_LATE.V1_UP,0.46166,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GLI1_UP.V1_DN,0.41428000000000004,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GLI1_UP.V1_UP,0.45469,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HINATA_NFKB_IMMU_INF,0.9656899999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HINATA_NFKB_MATRIX,0.09614,TNBC,False,0.07142857142857142,0.14285714285714285,0.35714285714285715,0.21428571428571425,0.0,0.0,2.4285714285714284,1.5714285714285714,2.7857142857142856,0.14285714285714285
ONCOGENIC_HOXA9_DN.V1_DN,0.9101600000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HOXA9_DN.V1_UP,0.07608999999999999,ER+,False,1.5555555555555558,4.333333333333334,0.4444444444444445,2.333333333333333,3.111111111111112,6.5555555555555545,1.6666666666666667,0.0,0.11111111111111112,3.0000000000000004
ONCOGENIC_IL15_UP.V1_DN,0.16329000000000002,ER+,False,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
ONCOGENIC_IL15_UP.V1_UP,0.35058,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL21_UP.V1_DN,0.14652,ER+,False,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL21_UP.V1_UP,0.034,ER+,False,0.8478260869565217,1.0869565217391304,0.934782608695652,0.8369565217391304,0.9782608695652174,1.0543478260869563,1.0869565217391304,0.8152173913043478,1.0543478260869563,1.0869565217391304
ONCOGENIC_IL2_UP.V1_DN,0.02888,ER+,False,0.8152173913043478,1.076086956521739,0.9021739130434782,0.9891304347826086,1.0108695652173914,1.0869565217391304,0.9891304347826086,0.8152173913043478,0.9021739130434782,1.076086956521739
ONCOGENIC_IL2_UP.V1_UP,0.11585,ER+,False,0.25,0.75,0.0,0.25,0.5,0.0,11.5,0.0,0.0,2.5
ONCOGENIC_JAK2_DN.V1_DN,0.5320600000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JAK2_DN.V1_UP,0.24051999999999998,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JNK_DN.V1_DN,0.47726999999999997,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JNK_DN.V1_UP,0.29982,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.300_UP.V1_DN,0.18248,ER+,False,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
ONCOGENIC_KRAS.300_UP.V1_UP,0.043,ER+,False,0.7826086956521741,1.2608695652173914,1.0144927536231885,0.6956521739130435,0.855072463768116,1.3043478260869568,1.3043478260869568,1.2173913043478262,0.5217391304347826,1.376811594202899
ONCOGENIC_KRAS.50_UP.V1_DN,0.9805,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.50_UP.V1_UP,0.34405,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_DN,0.13003,ER+,False,0.0,0.6666666666666667,1.0,0.0,0.33333333333333337,13.000000000000002,1.3333333333333337,0.0,0.0,0.0
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_UP,0.9202299999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600_UP.V1_DN,0.32686,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
