,beanie_pval,direction,robust,excluded_BRCA_4,excluded_BRCA_24,excluded_BRCA_10,excluded_BRCA_8,excluded_BRCA_47,excluded_BRCA_22,excluded_BRCA_49,excluded_BRCA_13,excluded_BRCA_18,excluded_BRCA_35,excluded_BRCA_37,excluded_BRCA_23,excluded_BRCA_2,excluded_BRCA_33,excluded_BRCA_20,excluded_BRCA_48,excluded_BRCA_3,excluded_BRCA_25,excluded_BRCA_7
HALLMARK_MYOGENESIS,0.00244,TNBC,False,0.36,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0
HALLMARK_NOTCH_SIGNALING,0.15863,TNBC,False,5.0,3.0,2.25,2.5,5.0,0.0,1.25,1.25,1.5,2.75,6.75,0.0,0.25,7.249999999999999,0.25,1.7500000000000002,1.7500000000000002,3.25,4.25
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.00307,TNBC,False,0.47,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.98,1.0,0.98,1.0,1.0,1.0
HALLMARK_P53_PATHWAY,2e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PANCREAS_BETA_CELLS,0.37714000000000003,TNBC,False,0.0,14.000000000000002,0.0,0.0,1.0,0.0,1.0,17.0,5.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HALLMARK_PEROXISOME,0.04676,TNBC,False,2.2592592592592595,0.0,2.1111111111111107,0.9629629629629628,2.2592592592592595,2.333333333333333,1.5185185185185184,0.6296296296296297,0.5925925925925926,2.0,1.5185185185185184,3.555555555555556,0.7777777777777777,0.4814814814814815,2.5185185185185186,2.4814814814814814,2.5185185185185186,1.9259259259259256,3.4074074074074074
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.00047000000000000004,TNBC,True,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PROTEIN_SECRETION,0.00011999999999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_SPERMATOGENESIS,0.96814,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_TGF_BETA_SIGNALING,0.00014,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,2e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.00179,TNBC,False,0.65,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
HALLMARK_UV_RESPONSE_DN,0.01199,TNBC,False,0.8453608247422679,1.0309278350515465,1.0103092783505154,0.9175257731958764,0.9690721649484536,0.29896907216494845,0.9175257731958764,0.9690721649484536,0.865979381443299,1.0,0.9587628865979382,0.8556701030927835,0.8762886597938144,1.0309278350515465,0.865979381443299,0.9484536082474228,0.9793814432989691,1.0206185567010309,0.7216494845360825
HALLMARK_UV_RESPONSE_UP,0.0034100000000000003,TNBC,False,0.82,1.0,1.0,1.0,0.99,1.0,1.0,0.98,1.0,0.99,0.98,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.92
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.25966999999999996,ER+,False,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
HALLMARK_XENOBIOTIC_METABOLISM,0.00809,TNBC,False,0.9578947368421054,0.3578947368421053,0.9684210526315792,1.0315789473684212,1.0315789473684212,1.0421052631578949,0.9894736842105264,0.9684210526315792,1.0105263157894735,1.0315789473684212,1.0421052631578949,1.0526315789473684,0.8210526315789475,0.9263157894736842,1.0105263157894735,0.9789473684210528,1.0315789473684212,1.0210526315789474,1.0526315789473684
ONCOGENIC_AKT_UP.V1_DN,0.13797,TNBC,False,4.6,0.1,1.1,0.0,0.8999999999999999,0.0,1.7999999999999998,0.7000000000000001,0.3,1.7,1.7999999999999998,0.1,0.7000000000000001,2.6,1.4999999999999998,0.7999999999999999,3.9,1.4,1.2
ONCOGENIC_AKT_UP.V1_UP,0.05371,TNBC,False,1.3414634146341464,0.0,1.0731707317073171,1.5853658536585369,1.4146341463414631,0.7560975609756098,0.7317073170731707,0.1951219512195122,0.4390243902439024,0.5853658536585366,0.7317073170731707,1.024390243902439,0.12195121951219512,1.6829268292682926,1.146341463414634,0.902439024390244,1.1219512195121952,2.048780487804878,1.6829268292682926
ONCOGENIC_AKT_UP_MTOR_DN.V1_DN,0.76285,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_UP,0.19902999999999998,TNBC,False,1.6666666666666667,0.33333333333333337,0.6666666666666667,2.0,3.666666666666667,0.0,0.0,1.3333333333333337,0.6666666666666667,0.33333333333333337,2.333333333333333,5.0,0.0,7.333333333333334,0.33333333333333337,0.6666666666666667,1.3333333333333337,2.0,1.0
ONCOGENIC_ALK_DN.V1_DN,0.9006799999999999,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ALK_DN.V1_UP,0.41973,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_S_UP.V1_DN,0.02568,TNBC,False,0.8987341772151898,1.0759493670886076,1.0379746835443038,1.1265822784810129,1.1772151898734178,0.8987341772151898,0.5189873417721519,0.9493670886075948,0.8481012658227848,0.9493670886075948,0.8734177215189872,0.15189873417721514,0.620253164556962,1.1645569620253164,0.6835443037974683,1.2025316455696202,1.1772151898734178,0.7215189873417721,1.1265822784810129
ONCOGENIC_ATF2_S_UP.V1_UP,0.51636,ER+,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_UP.V1_DN,0.059039999999999995,TNBC,False,1.4680851063829787,0.1914893617021277,1.1489361702127658,1.25531914893617,1.5106382978723405,0.3404255319148937,0.8936170212765958,0.7446808510638298,0.8936170212765958,1.0212765957446808,1.1489361702127658,0.3191489361702128,0.3404255319148937,1.4893617021276595,0.3404255319148937,1.8297872340425527,1.3404255319148937,1.4680851063829787,1.319148936170213
ONCOGENIC_ATF2_UP.V1_UP,0.18198,TNBC,False,2.0,0.0,3.5000000000000004,0.0,3.0,2.5,6.0,9.0,1.0,0.5,4.0,6.0,0.5,0.0,1.5,0.5,2.0,0.5,22.0
ONCOGENIC_ATM_DN.V1_DN,0.23831,TNBC,False,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
ONCOGENIC_ATM_DN.V1_UP,0.4201,ER+,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_DN,0.40216,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
ONCOGENIC_BCAT.100_UP.V1_UP,0.5606,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_BILD_ET_AL_DN,0.10948,TNBC,False,0.0,8.25,1.5833333333333337,1.1666666666666667,2.4166666666666665,0.75,1.1666666666666667,0.9166666666666669,0.33333333333333337,0.75,0.5833333333333334,0.08333333333333334,0.9166666666666669,1.5,0.75,2.083333333333333,2.083333333333333,0.9166666666666669,0.75
ONCOGENIC_BCAT_BILD_ET_AL_UP,0.74874,TNBC,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_DN,0.87854,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_UP,0.19094,ER+,False,0.1,0.4,0.5,0.5,0.3,2.8999999999999995,0.0,0.0,0.4,0.6,0.1,0.7000000000000001,0.5,0.3,0.3,0.0,1.7,0.3,0.1
ONCOGENIC_BMI1_DN.V1_DN,0.0197,TNBC,False,1.3157894736842106,0.09210526315789476,1.1578947368421053,1.0,1.2105263157894737,0.21052631578947367,1.2105263157894737,0.9473684210526316,1.0657894736842106,1.1710526315789471,1.1973684210526316,1.2894736842105263,0.3157894736842105,1.0789473684210529,1.0657894736842106,1.0,1.2368421052631575,1.0789473684210529,0.21052631578947367
ONCOGENIC_BMI1_DN.V1_UP,0.02192,TNBC,False,0.2386363636363636,1.1363636363636365,0.7954545454545454,1.0,0.7272727272727273,1.125,0.943181818181818,1.068181818181818,0.5454545454545454,0.9545454545454544,0.9204545454545456,1.0909090909090908,0.5454545454545454,1.0909090909090908,0.9090909090909092,0.9545454545454544,0.943181818181818,1.0909090909090908,1.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_DN,0.0781,TNBC,False,1.9411764705882355,0.1764705882352941,2.117647058823529,0.411764705882353,1.9411764705882355,0.411764705882353,1.5294117647058822,3.0,1.5294117647058822,1.9411764705882355,2.7647058823529407,2.8235294117647056,0.05882352941176471,1.4705882352941175,3.117647058823529,0.823529411764706,2.294117647058824,1.1176470588235294,0.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.00462,TNBC,True,0.97,0.95,0.99,0.99,0.95,1.0,1.0,1.0,0.98,0.99,1.0,0.9,0.93,1.0,1.0,0.97,0.98,1.0,0.9
ONCOGENIC_BRCA1_DN.V1_DN,0.012819999999999998,ER+,False,0.9894736842105264,0.6526315789473685,1.0210526315789474,0.9789473684210528,0.9052631578947368,1.0210526315789474,0.9684210526315792,0.9789473684210528,1.0421052631578949,1.0,0.8,1.0105263157894735,0.9157894736842106,0.8421052631578948,0.9263157894736842,0.9052631578947368,0.9894736842105264,1.0,0.631578947368421
ONCOGENIC_BRCA1_DN.V1_UP,0.67147,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROCYTIC,0.25934,TNBC,False,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
ONCOGENIC_CAHOY_ASTROGLIAL,4e-05,TNBC,True,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
