,beanie_pval,direction,robust,excluded_BRCA_4,excluded_BRCA_10,excluded_BRCA_14,excluded_BRCA_19,excluded_BRCA_35,excluded_BRCA_20,excluded_BRCA_3,excluded_BRCA_7
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07904,TNBC,False,2.5142857142857147,1.1142857142857143,2.8285714285714287,2.8571428571428568,0.0,0.6,2.571428571428572,0.1142857142857143
HALLMARK_COAGULATION,0.04226,TNBC,False,1.851851851851852,0.2962962962962963,1.851851851851852,1.851851851851852,0.1851851851851852,0.6851851851851851,1.6666666666666663,0.0
HALLMARK_COMPLEMENT,0.00029,TNBC,True,1.0,1.0,1.0,1.0,0.98,0.93,1.0,0.98
HALLMARK_DNA_REPAIR,0.05376,TNBC,False,4.583333333333334,3.4166666666666665,7.0,8.333333333333334,0.0,0.0,7.0,0.0
HALLMARK_E2F_TARGETS,0.030989999999999997,TNBC,False,1.74,1.84,1.54,2.0,0.04,0.32,1.34,0.12
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.00251,ER+,False,0.8282828282828283,1.0101010101010102,0.8585858585858586,0.8282828282828283,1.0101010101010102,1.0101010101010102,0.9696969696969696,1.0101010101010102
HALLMARK_ESTROGEN_RESPONSE_LATE,0.1747,ER+,False,0.0,0.5882352941176471,0.1764705882352941,0.05882352941176471,5.882352941176469,0.7647058823529411,0.5882352941176471,5.588235294117646
HALLMARK_FATTY_ACID_METABOLISM,0.27316,TNBC,False,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
HALLMARK_G2M_CHECKPOINT,0.02862,TNBC,False,1.323943661971831,1.323943661971831,1.3661971830985915,1.4084507042253522,0.0,0.3521126760563381,1.0,0.3098591549295775
HALLMARK_GLYCOLYSIS,0.048780000000000004,TNBC,False,2.9411764705882346,1.5294117647058822,2.9117647058823533,2.9411764705882346,0.029411764705882356,0.3529411764705882,2.5,0.0
HALLMARK_HEDGEHOG_SIGNALING,0.9415,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HEME_METABOLISM,0.01293,TNBC,False,1.0853658536585369,1.1097560975609757,1.2195121951219512,1.2195121951219512,0.1951219512195122,0.2195121951219512,1.2195121951219512,0.6951219512195121
HALLMARK_HYPOXIA,0.0006,TNBC,False,1.0,1.0,1.0,1.0,0.93,0.99,1.0,0.09
HALLMARK_IL2_STAT5_SIGNALING,4e-05,TNBC,True,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,2.9999999999999997e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INFLAMMATORY_RESPONSE,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_KRAS_SIGNALING_DN,0.60672,TNBC,False,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
HALLMARK_KRAS_SIGNALING_UP,5.9999999999999995e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MITOTIC_SPINDLE,0.015380000000000001,TNBC,False,1.0697674418604652,1.0813953488372094,1.162790697674419,1.162790697674419,0.011627906976744186,0.1744186046511628,1.162790697674419,0.6744186046511628
HALLMARK_MTORC1_SIGNALING,0.02126,TNBC,False,2.4390243902439024,2.048780487804878,2.4390243902439024,2.4390243902439024,0.0975609756097561,0.17073170731707318,2.1463414634146343,0.0
HALLMARK_MYC_TARGETS_V1,0.00837,TNBC,False,1.2658227848101264,1.2151898734177211,1.2658227848101264,1.2658227848101264,0.569620253164557,0.037974683544303785,1.2658227848101264,0.0
HALLMARK_MYC_TARGETS_V2,0.10765999999999999,TNBC,False,2.8999999999999995,1.4,6.199999999999998,5.2,0.0,1.4999999999999998,4.0,0.1
HALLMARK_MYOGENESIS,0.032560000000000006,TNBC,False,1.5151515151515151,0.42424242424242425,1.5151515151515151,1.5151515151515151,0.19696969696969696,0.8636363636363635,1.4393939393939392,0.0
HALLMARK_NOTCH_SIGNALING,0.13964000000000001,TNBC,False,1.6666666666666667,0.6666666666666666,1.5555555555555558,4.666666666666667,0.6666666666666666,3.2222222222222223,0.5555555555555556,0.3333333333333333
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.03196,TNBC,False,3.125,2.0625,3.125,3.125,0.0625,0.0,3.125,0.0
HALLMARK_P53_PATHWAY,4e-05,TNBC,True,1.0,1.0,1.0,1.0,0.99,0.99,1.0,1.0
HALLMARK_PANCREAS_BETA_CELLS,0.8965,TNBC,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
HALLMARK_PEROXISOME,0.04893,TNBC,False,1.9411764705882355,2.147058823529412,1.4705882352941175,2.852941176470588,0.1176470588235294,0.08823529411764705,1.6176470588235294,0.14705882352941174
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.02277,TNBC,False,2.4444444444444446,2.166666666666667,2.7777777777777777,2.7777777777777777,1.1666666666666667,0.08333333333333333,2.6111111111111107,0.05555555555555556
HALLMARK_PROTEIN_SECRETION,0.00228,TNBC,False,1.0309278350515465,0.9793814432989691,1.0309278350515465,1.0309278350515465,0.3195876288659794,0.13402061855670105,1.0309278350515465,0.4123711340206186
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.06469,TNBC,False,7.8888888888888875,4.111111111111112,11.0,11.111111111111109,1.0,0.0,3.666666666666667,0.0
HALLMARK_SPERMATOGENESIS,0.6764,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_TGF_BETA_SIGNALING,0.0083,TNBC,False,1.0416666666666667,0.8437500000000001,1.0416666666666667,1.0416666666666667,0.4895833333333333,0.6875000000000001,1.0416666666666667,0.4062500000000001
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.03441,TNBC,False,2.9411764705882346,1.9705882352941173,2.9411764705882346,2.9411764705882346,0.7647058823529411,0.0,2.88235294117647,0.0
HALLMARK_UV_RESPONSE_DN,0.03932,TNBC,False,1.7254901960784317,1.1372549019607845,1.9411764705882355,1.96078431372549,0.2352941176470588,0.0,1.96078431372549,0.29411764705882354
HALLMARK_UV_RESPONSE_UP,0.016980000000000002,TNBC,False,1.25,1.1125,1.25,1.25,0.3875,0.4375,1.25,0.0375
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.19745,TNBC,False,0.06666666666666668,0.0,0.26666666666666666,0.0,0.2,1.866666666666667,2.5333333333333337,2.8666666666666667
HALLMARK_XENOBIOTIC_METABOLISM,0.40059,TNBC,False,0.0,4.0,23.0,62.0,0.0,0.0,0.0,0.0
ONCOGENIC_AKT_UP.V1_DN,0.00788,TNBC,False,1.0777777777777775,1.1,1.0666666666666669,1.0555555555555556,0.5777777777777778,0.6666666666666666,1.1111111111111112,0.8555555555555555
ONCOGENIC_AKT_UP.V1_UP,0.3059,TNBC,False,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_DN,0.25764000000000004,TNBC,False,0.5,0.5,2.0,4.5,0.5,2.0,9.5,7.000000000000001
ONCOGENIC_AKT_UP_MTOR_DN.V1_UP,0.29929,TNBC,False,3.0,1.0,48.0,27.0,0.0,0.0,6.0,1.0
ONCOGENIC_ALK_DN.V1_DN,0.44805,TNBC,False,3.0,0.0,0.0,0.0,35.0,4.0,0.0,0.0
ONCOGENIC_ALK_DN.V1_UP,0.15481,TNBC,False,0.0,0.3529411764705882,0.8823529411764705,0.1176470588235294,1.3529411764705879,2.88235294117647,0.7058823529411764,2.4705882352941173
ONCOGENIC_ATF2_S_UP.V1_DN,0.01927,TNBC,False,0.7222222222222223,1.1388888888888888,1.1666666666666667,1.1111111111111112,0.22222222222222224,0.22222222222222224,1.375,1.1944444444444444
ONCOGENIC_ATF2_S_UP.V1_UP,0.9126,TNBC,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_ATF2_UP.V1_DN,0.01951,TNBC,False,0.35185185185185186,1.5925925925925926,1.7037037037037035,1.5370370370370368,0.14814814814814814,0.037037037037037035,1.759259259259259,1.5370370370370368
ONCOGENIC_ATF2_UP.V1_UP,0.25223,TNBC,False,0.1875,0.0,0.0625,0.5625,0.0,5.0625,0.0,1.875
ONCOGENIC_ATM_DN.V1_DN,0.07417,TNBC,False,2.21875,0.46875,1.25,0.375,2.59375,2.21875,0.6875,0.375
ONCOGENIC_ATM_DN.V1_UP,0.74179,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_DN,0.9000600000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_UP,0.28994000000000003,TNBC,False,1.3333333333333337,0.0,2.0,0.0,0.33333333333333337,0.0,3.666666666666667,0.33333333333333337
ONCOGENIC_BCAT_BILD_ET_AL_DN,0.40856,TNBC,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
ONCOGENIC_BCAT_BILD_ET_AL_UP,0.2413,TNBC,False,39.5,0.0,35.5,33.5,0.0,1.5,10.0,0.0
ONCOGENIC_BCAT_GDS748_DN,0.10464000000000001,TNBC,False,0.4,4.2,1.5333333333333334,2.333333333333333,0.06666666666666668,0.06666666666666668,1.0,1.6
ONCOGENIC_BCAT_GDS748_UP,0.015519999999999999,TNBC,False,0.9263157894736842,1.0526315789473684,0.8736842105263158,0.5157894736842106,0.7368421052631579,1.0421052631578949,0.7578947368421053,0.9578947368421054
ONCOGENIC_BMI1_DN.V1_DN,0.36834,TNBC,False,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
ONCOGENIC_BMI1_DN.V1_UP,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_DN,0.21308000000000002,TNBC,False,66.0,0.0,55.0,75.0,0.0,0.0,6.0,0.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.0001,TNBC,True,1.0,0.99,1.0,0.98,1.0,1.0,1.0,1.0
ONCOGENIC_BRCA1_DN.V1_DN,0.85109,ER+,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_BRCA1_DN.V1_UP,0.46106,TNBC,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROCYTIC,0.85164,TNBC,False,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROGLIAL,0.3787,TNBC,False,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_NEURONAL,0.8746200000000001,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_OLIGODENDROCUTIC,0.33868000000000004,TNBC,False,0.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0
ONCOGENIC_CAMP_UP.V1_DN,0.00117,TNBC,False,1.0,1.0,1.0,1.0,0.7,0.75,1.0,0.63
ONCOGENIC_CAMP_UP.V1_UP,0.00162,TNBC,False,1.0,1.0,1.0,1.0,0.66,0.38,1.0,0.09
ONCOGENIC_CORDENONSI_YAP_CONSERVED_SIGNATURE,0.0658,TNBC,False,2.232558139534884,0.5116279069767442,2.232558139534884,2.232558139534884,0.06976744186046513,0.6511627906976745,1.8604651162790702,0.04651162790697674
ONCOGENIC_CRX_DN.V1_DN,2.9999999999999997e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_DN.V1_UP,0.93245,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_NRL_DN.V1_DN,0.19864,TNBC,False,11.749999999999998,1.0,8.0,1.7500000000000002,0.0,3.25,3.75,0.0
ONCOGENIC_CRX_NRL_DN.V1_UP,0.27136,TNBC,False,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
ONCOGENIC_CSR_EARLY_UP.V1_DN,0.34786,TNBC,False,0.0,0.0,2.0,14.000000000000002,1.0,1.0,21.0,8.0
ONCOGENIC_CSR_EARLY_UP.V1_UP,0.06115,TNBC,False,2.1052631578947367,1.0263157894736843,2.526315789473684,2.5789473684210527,0.13157894736842105,0.05263157894736842,2.552631578947368,0.21052631578947367
ONCOGENIC_CSR_LATE_UP.V1_DN,0.20634,TNBC,False,0.0,0.2,10.2,1.7999999999999998,1.6,0.0,7.8,3.8
ONCOGENIC_CSR_LATE_UP.V1_UP,0.00997,TNBC,False,1.0989010989010988,1.0989010989010988,1.0769230769230769,1.0989010989010988,0.1978021978021978,0.923076923076923,1.065934065934066,0.4835164835164835
ONCOGENIC_CTIP_DN.V1_DN,0.76658,TNBC,False,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
ONCOGENIC_CTIP_DN.V1_UP,0.35338,TNBC,False,4.666666666666667,0.0,0.6666666666666667,0.0,8.0,11.666666666666664,0.0,0.0
ONCOGENIC_CYCLIN_D1_KE_.V1_DN,0.01252,TNBC,False,1.1235955056179776,1.0112359550561798,1.1011235955056178,1.1235955056179776,0.8426966292134831,0.5393258426966292,1.1235955056179776,0.33707865168539325
ONCOGENIC_CYCLIN_D1_KE_.V1_UP,0.0107,TNBC,False,1.0898876404494382,1.0561797752808988,1.1235955056179776,1.1235955056179776,0.14606741573033707,0.3932584269662921,1.1235955056179776,0.5955056179775281
ONCOGENIC_CYCLIN_D1_UP.V1_DN,0.0005200000000000001,TNBC,False,1.0,1.0,1.0,1.0,0.83,0.76,1.0,0.94
ONCOGENIC_CYCLIN_D1_UP.V1_UP,0.04797,TNBC,False,1.8823529411764703,0.4705882352941176,1.1764705882352942,1.92156862745098,0.5294117647058824,0.9215686274509804,1.4705882352941175,0.0
ONCOGENIC_DCA_UP.V1_DN,0.14614000000000002,TNBC,False,0.0,1.0,1.2941176470588234,0.5294117647058822,0.4705882352941176,1.1764705882352942,2.117647058823529,5.76470588235294
ONCOGENIC_DCA_UP.V1_UP,0.48594,TNBC,False,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
ONCOGENIC_E2F1_UP.V1_DN,0.00678,TNBC,False,1.0869565217391304,1.0,1.0869565217391304,1.0869565217391304,0.7173913043478259,0.3260869565217391,1.0869565217391304,0.5869565217391305
ONCOGENIC_E2F1_UP.V1_UP,0.6320399999999999,TNBC,False,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F3_UP.V1_DN,0.30428,ER+,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ONCOGENIC_E2F3_UP.V1_UP,0.36932,ER+,False,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
ONCOGENIC_EGFR_UP.V1_DN,0.45264,TNBC,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
ONCOGENIC_EGFR_UP.V1_UP,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_EIF4E_DN,0.00267,TNBC,False,0.6989247311827956,1.064516129032258,1.075268817204301,1.075268817204301,0.5698924731182796,0.15053763440860216,1.075268817204301,1.075268817204301
ONCOGENIC_EIF4E_UP,0.15452,TNBC,False,4.384615384615384,0.923076923076923,5.153846153846153,2.6153846153846154,0.4615384615384615,0.3076923076923077,3.692307692307692,0.07692307692307693
ONCOGENIC_ERBB2_UP.V1_DN,0.22446999999999998,TNBC,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
ONCOGENIC_ERBB2_UP.V1_UP,0.07342,TNBC,False,2.210526315789473,0.1842105263157895,2.447368421052632,2.421052631578948,0.07894736842105263,0.02631578947368421,2.6052631578947367,0.05263157894736842
ONCOGENIC_ESC_J1_UP_EARLY.V1_DN,0.02238,TNBC,False,1.25,0.6875,1.225,1.2374999999999998,0.2625,0.8375,1.2374999999999998,0.08750000000000001
ONCOGENIC_ESC_J1_UP_EARLY.V1_UP,0.58089,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_LATE.V1_DN,0.0609,TNBC,False,1.275,0.85,0.7999999999999999,1.375,0.05,1.275,1.825,0.95
ONCOGENIC_ESC_J1_UP_LATE.V1_UP,0.89618,TNBC,False,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_DN,0.00057,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_UP,0.8524,ER+,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_LATE.V1_DN,0.00196,TNBC,False,1.020408163265306,1.020408163265306,1.020408163265306,1.010204081632653,1.0,1.010204081632653,1.020408163265306,0.8571428571428571
ONCOGENIC_ESC_V6.5_UP_LATE.V1_UP,0.6270600000000001,TNBC,False,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_DN,0.66982,TNBC,False,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_UP,0.11438,TNBC,False,0.9333333333333336,2.6,4.466666666666667,5.133333333333334,0.0,0.26666666666666666,3.333333333333333,0.7333333333333334
ONCOGENIC_GCNP_SHH_UP_LATE.V1_DN,0.21603000000000003,TNBC,False,4.0,1.0,0.2,9.8,1.0,1.0,0.6,0.0
ONCOGENIC_GCNP_SHH_UP_LATE.V1_UP,0.30641,TNBC,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
ONCOGENIC_GLI1_UP.V1_DN,0.16644,TNBC,False,0.07692307692307693,1.6923076923076923,0.38461538461538464,0.3076923076923077,0.4615384615384615,0.4615384615384615,1.846153846153846,3.692307692307692
ONCOGENIC_GLI1_UP.V1_UP,0.18711,TNBC,False,2.0,0.0,19.0,10.0,0.0,8.0,0.0,1.0
ONCOGENIC_HINATA_NFKB_IMMU_INF,0.0261,TNBC,False,1.1647058823529413,0.6941176470588235,1.1764705882352942,1.1176470588235294,0.7058823529411765,0.8117647058823529,1.1764705882352942,0.21176470588235294
ONCOGENIC_HINATA_NFKB_MATRIX,0.0206,TNBC,False,1.1111111111111112,0.5666666666666667,1.1111111111111112,1.1111111111111112,0.6888888888888889,0.8333333333333333,1.1111111111111112,0.0
ONCOGENIC_HOXA9_DN.V1_DN,0.00336,TNBC,False,1.0206185567010309,1.0,0.9896907216494846,1.0103092783505154,0.3505154639175258,0.9793814432989691,1.0309278350515465,1.0103092783505154
ONCOGENIC_HOXA9_DN.V1_UP,0.00252,TNBC,False,0.9595959595959596,1.0101010101010102,1.0101010101010102,1.0101010101010102,0.8686868686868687,0.3434343434343435,1.0101010101010102,1.0
ONCOGENIC_IL15_UP.V1_DN,0.14026,TNBC,False,0.6785714285714285,0.14285714285714285,0.10714285714285712,0.0,0.0,2.8928571428571432,0.4642857142857143,1.1785714285714286
ONCOGENIC_IL15_UP.V1_UP,0.21006,TNBC,False,1.0,0.0,1.0,8.75,1.25,0.75,3.0,0.0
ONCOGENIC_IL21_UP.V1_DN,0.80862,TNBC,False,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL21_UP.V1_UP,0.41552,TNBC,False,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
ONCOGENIC_IL2_UP.V1_DN,0.42339,TNBC,False,0.0,0.0,0.0,0.0,0.33333333333333337,1.3333333333333337,0.6666666666666667,0.0
ONCOGENIC_IL2_UP.V1_UP,0.0786,TNBC,False,1.6363636363636365,0.30303030303030304,1.878787878787879,2.787878787878788,0.0,1.181818181818182,1.878787878787879,0.060606060606060615
ONCOGENIC_JAK2_DN.V1_DN,0.35691999999999996,TNBC,False,0.0,1.0,1.0,1.0,8.0,0.0,2.0,42.0
ONCOGENIC_JAK2_DN.V1_UP,0.35165,ER+,False,0.0,2.0,2.0,63.0,0.0,27.0,0.0,6.0
ONCOGENIC_JNK_DN.V1_DN,0.67052,TNBC,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_JNK_DN.V1_UP,0.4803,TNBC,False,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
ONCOGENIC_KRAS.300_UP.V1_DN,0.05094,TNBC,False,0.8,0.8,0.016666666666666666,0.3,0.7333333333333334,1.2833333333333334,1.25,1.15
ONCOGENIC_KRAS.300_UP.V1_UP,0.8780399999999999,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.50_UP.V1_DN,0.37251,TNBC,False,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
ONCOGENIC_KRAS.50_UP.V1_UP,0.46263999999999994,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_DN,0.3129,TNBC,False,0.25,0.0,0.0,0.0,0.5,2.0,8.0,6.0
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_UP,0.76804,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600_UP.V1_DN,0.08678999999999999,TNBC,False,0.7714285714285716,0.37142857142857133,0.0,0.08571428571428573,2.0285714285714285,1.2857142857142858,1.342857142857143,1.0571428571428572
ONCOGENIC_KRAS.600_UP.V1_UP,0.84152,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.AMP.LUNG_UP.V1_DN,0.39626999999999996,ER+,False,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
