,Tumor State,Gene Signature,BEANIE p-value,Direction,Robustness
129,Tumor State 1,ONCOGENIC_ERBB2_UP.V1_DN,0.0314,Treatment-naive,False
131,Tumor State 1,ONCOGENIC_ESC_J1_UP_EARLY.V1_DN,0.0384,Treatment-naive,False
135,Tumor State 1,ONCOGENIC_ESC_V6.5_UP_EARLY.V1_DN,0.0,Treatment-naive,True
142,Tumor State 1,ONCOGENIC_GCNP_SHH_UP_LATE.V1_UP,0.014,Treatment-naive,False
146,Tumor State 1,ONCOGENIC_HINATA_NFKB_MATRIX,0.0159,Treatment-naive,False
188,Tumor State 1,ONCOGENIC_MEL18_DN.V1_UP,0.0036,Treatment-naive,False
189,Tumor State 1,ONCOGENIC_MTOR_UP.N4.V1_DN,0.005,Treatment-naive,False
197,Tumor State 1,ONCOGENIC_NOTCH_DN.V1_UP,0.029,Treatment-naive,False
201,Tumor State 1,ONCOGENIC_P53_DN.V1_UP,0.0287,Treatment-naive,False
203,Tumor State 1,ONCOGENIC_P53_DN.V2_UP,0.0126,Treatment-naive,False
204,Tumor State 1,ONCOGENIC_PDGF_ERK_DN.V1_DN,0.0393,Treatment-naive,False
205,Tumor State 1,ONCOGENIC_PDGF_ERK_DN.V1_UP,0.0117,Treatment-naive,False
207,Tumor State 1,ONCOGENIC_PDGF_UP.V1_UP,0.008,Treatment-naive,False
209,Tumor State 1,ONCOGENIC_PIGF_UP.V1_UP,0.0191,Treatment-naive,False
217,Tumor State 1,ONCOGENIC_PRC2_EZH2_UP.V1_UP,0.0164,Treatment-naive,False
223,Tumor State 1,ONCOGENIC_PTEN_DN.V2_UP,0.048,Treatment-naive,False
232,Tumor State 1,ONCOGENIC_RB_P130_DN.V1_DN,0.0282,Treatment-naive,False
235,Tumor State 1,ONCOGENIC_RELA_DN.V1_UP,0.0346,Treatment-naive,False
247,Tumor State 1,ONCOGENIC_STK33_NOMO_UP,0.0006,Treatment-naive,False
249,Tumor State 1,ONCOGENIC_STK33_SKM_UP,0.0059,Treatment-naive,False
250,Tumor State 1,ONCOGENIC_STK33_UP,0.005,Treatment-naive,False
251,Tumor State 1,ONCOGENIC_TBK1.DF_DN,0.0009,Treatment-naive,False
257,Tumor State 1,ONCOGENIC_VEGF_A_UP.V1_DN,0.0213,Treatment-naive,False
261,Tumor State 1,ONCOGENIC_YAP1_DN,0.023,Treatment-naive,False
1,Tumor State 2,REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.0186,Treatment-naive,False
2,Tumor State 2,REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.0331,Treatment-naive,False
5,Tumor State 2,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0016,Treatment-naive,False
6,Tumor State 2,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0009,Treatment-naive,False
7,Tumor State 2,EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.0,Treatment-naive,False
9,Tumor State 2,NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.0408,Treatment-naive,False
10,Tumor State 2,REACTOME_INTERFERON_GAMMA_SIGNALING,0.0032,Treatment-naive,False
11,Tumor State 2,REACTOME_INTERFERON_SIGNALING,0.0001,Treatment-naive,True
15,Tumor State 2,WP_TYPE_II_INTERFERON_SIGNALING,0.0024,Treatment-naive,False
16,Tumor State 2,WP_TYPE_III_INTERFERON_SIGNALING,0.02,Treatment-naive,False
17,Tumor State 2,BROWNE_INTERFERON_RESPONSIVE_GENES,0.0,Treatment-naive,True
18,Tumor State 2,ZHANG_INTERFERON_RESPONSE,0.0,Treatment-naive,False
19,Tumor State 2,REACTOME_CYTOPROTECTION_BY_HMOX1,0.0098,Treatment-naive,False
23,Tumor State 2,WU_ET_AL_HER2E_SC,0.0322,Treatment-naive,False
33,Tumor State 2,HALLMARK_BILE_ACID_METABOLISM,0.0402,Anti-PD1 treated,False
38,Tumor State 2,HALLMARK_E2F_TARGETS,0.0464,Treatment-naive,False
44,Tumor State 2,HALLMARK_GLYCOLYSIS,0.042,Treatment-naive,False
49,Tumor State 2,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0196,Treatment-naive,False
54,Tumor State 2,HALLMARK_MTORC1_SIGNALING,0.025,Treatment-naive,False
56,Tumor State 2,HALLMARK_MYC_TARGETS_V2,0.0387,Treatment-naive,False
63,Tumor State 2,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0001,Treatment-naive,True
69,Tumor State 2,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0457,Treatment-naive,False
71,Tumor State 2,HALLMARK_UV_RESPONSE_UP,0.0413,Treatment-naive,False
78,Tumor State 2,ONCOGENIC_ALK_DN.V1_DN,0.0107,Anti-PD1 treated,False
109,Tumor State 2,ONCOGENIC_CSR_EARLY_UP.V1_DN,0.0428,Treatment-naive,False
129,Tumor State 2,ONCOGENIC_ERBB2_UP.V1_DN,0.0051,Treatment-naive,False
158,Tumor State 2,ONCOGENIC_JNK_DN.V1_UP,0.046,Treatment-naive,False
183,Tumor State 2,ONCOGENIC_LTE2_UP.V1_DN,0.0006,Treatment-naive,False
185,Tumor State 2,ONCOGENIC_MEK_UP.V1_DN,0.0121,Treatment-naive,False
188,Tumor State 2,ONCOGENIC_MEL18_DN.V1_UP,0.0319,Treatment-naive,False
209,Tumor State 2,ONCOGENIC_PIGF_UP.V1_UP,0.0379,Treatment-naive,False
227,Tumor State 2,ONCOGENIC_RAPA_EARLY_UP.V1_UP,0.0148,Treatment-naive,False
231,Tumor State 2,ONCOGENIC_RB_P107_DN.V1_UP,0.0241,Treatment-naive,False
242,Tumor State 2,ONCOGENIC_SNF5_DN.V1_UP,0.0002,Treatment-naive,True
245,Tumor State 2,ONCOGENIC_STK33_DN,0.0378,Treatment-naive,False
4,Tumor State 3,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.0053,Treatment-naive,False
7,Tumor State 3,EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.0179,Treatment-naive,False
8,Tumor State 3,NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.0275,Treatment-naive,False
9,Tumor State 3,NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.0371,Treatment-naive,False
11,Tumor State 3,REACTOME_INTERFERON_SIGNALING,0.029,Treatment-naive,False
15,Tumor State 3,WP_TYPE_II_INTERFERON_SIGNALING,0.0345,Treatment-naive,False
17,Tumor State 3,BROWNE_INTERFERON_RESPONSIVE_GENES,0.0141,Treatment-naive,False
29,Tumor State 3,HALLMARK_ANGIOGENESIS,0.0084,Treatment-naive,False
39,Tumor State 3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0001,Treatment-naive,False
50,Tumor State 3,HALLMARK_INFLAMMATORY_RESPONSE,0.0362,Treatment-naive,False
55,Tumor State 3,HALLMARK_MYC_TARGETS_V1,0.0157,Treatment-naive,False
64,Tumor State 3,HALLMARK_PROTEIN_SECRETION,0.0483,Treatment-naive,False
124,Tumor State 3,ONCOGENIC_E2F3_UP.V1_UP,0.0128,Anti-PD1 treated,False
135,Tumor State 3,ONCOGENIC_ESC_V6.5_UP_EARLY.V1_DN,0.0036,Treatment-naive,False
146,Tumor State 3,ONCOGENIC_HINATA_NFKB_MATRIX,0.0205,Treatment-naive,False
182,Tumor State 3,ONCOGENIC_LEF1_UP.V1_UP,0.039,Treatment-naive,False
184,Tumor State 3,ONCOGENIC_LTE2_UP.V1_UP,0.0213,Anti-PD1 treated,False
242,Tumor State 3,ONCOGENIC_SNF5_DN.V1_UP,0.0372,Treatment-naive,False
