,beanie_pval,direction,robust,excluded_LUAD_3,excluded_LUAD_0,excluded_LUAD_4,excluded_LUAD_10,excluded_LUAD_5,excluded_LUAD_1,excluded_LUAD_13,excluded_LUAD_6,excluded_LUAD_2
HALLMARK_DNA_REPAIR,0.77442,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_E2F_TARGETS,0.17806,early_stage,False,51.0,0.0,10.0,32.0,32.0,11.0,0.0,0.0,0.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.53076,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.6620199999999999,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_ESTROGEN_RESPONSE_LATE,0.25142,early_stage,False,0.0,14.749999999999998,0.0,0.0,0.0,0.0,0.75,1.0,7.249999999999999
HALLMARK_FATTY_ACID_METABOLISM,0.25849,early_stage,False,0.0,0.0,7.000000000000001,4.0,0.0,0.25,0.0,0.0,1.25
HALLMARK_G2M_CHECKPOINT,0.17669,early_stage,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
HALLMARK_GLYCOLYSIS,0.00088,early_stage,True,0.99,1.0,0.95,1.0,1.0,1.0,0.99,1.0,1.0
HALLMARK_HEDGEHOG_SIGNALING,0.8841600000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HEME_METABOLISM,0.70268,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HYPOXIA,0.00639,early_stage,False,0.51,1.0,0.64,0.79,1.0,0.98,1.0,1.0,1.0
HALLMARK_IL2_STAT5_SIGNALING,0.04018,early_stage,False,0.06578947368421052,0.9605263157894736,0.09210526315789476,0.013157894736842105,0.6447368421052632,0.1842105263157895,0.986842105263158,1.0921052631578947,1.2894736842105263
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.10425,early_stage,False,0.0,3.4482758620689657,0.20689655172413796,0.0,0.8275862068965517,0.2413793103448276,0.3103448275862069,1.0689655172413794,1.3793103448275863
HALLMARK_INFLAMMATORY_RESPONSE,0.14007999999999998,early_stage,False,0.0,2.3095238095238098,0.0,0.0,0.023809523809523808,0.0,1.2619047619047619,1.7857142857142858,2.2857142857142856
HALLMARK_INTERFERON_ALPHA_RESPONSE,7e-05,early_stage,False,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0,early_stage,False,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_KRAS_SIGNALING_DN,0.60042,late_stage,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
HALLMARK_KRAS_SIGNALING_UP,0.22835,early_stage,False,0.0,16.5,0.0,0.0,0.0,0.0,3.8333333333333335,9.5,13.833333333333336
HALLMARK_MITOTIC_SPINDLE,0.09838,early_stage,False,1.6666666666666667,0.0,0.8888888888888891,0.8888888888888891,2.055555555555556,1.6666666666666667,0.2777777777777778,0.4444444444444445,1.6111111111111112
HALLMARK_MTORC1_SIGNALING,0.0579,early_stage,False,0.18604651162790695,0.372093023255814,1.5116279069767442,0.8837209302325582,2.0,1.627906976744186,0.2558139534883721,0.16279069767441862,1.1395348837209305
HALLMARK_MYC_TARGETS_V1,0.83326,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MYC_TARGETS_V2,0.2477,early_stage,False,0.0,1.0,6.0,7.000000000000001,6.0,1.0,0.0,0.0,0.0
HALLMARK_MYOGENESIS,0.42923,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_NOTCH_SIGNALING,0.7964399999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.23854,early_stage,False,0.0,0.0,1.25,5.0,0.0,2.5,0.0,0.0,2.5
HALLMARK_P53_PATHWAY,0.016640000000000002,early_stage,False,0.0,1.0,0.78,0.82,0.99,0.73,1.0,1.0,1.0
HALLMARK_PANCREAS_BETA_CELLS,0.13665,early_stage,False,0.0,0.33333333333333337,1.809523809523809,2.238095238095238,1.380952380952381,0.2857142857142857,0.38095238095238104,0.09523809523809523,0.14285714285714285
HALLMARK_PEROXISOME,0.60464,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.23943000000000003,early_stage,False,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
HALLMARK_PROTEIN_SECRETION,0.17982,early_stage,False,11.0,0.0,0.0,0.0,12.0,6.0,2.0,0.0,8.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.13298,early_stage,False,0.0,0.21052631578947367,1.6842105263157894,0.5789473684210527,0.05263157894736842,0.42105263157894735,0.42105263157894735,0.10526315789473684,3.1052631578947367
HALLMARK_SPERMATOGENESIS,0.30643000000000004,early_stage,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
HALLMARK_TGF_BETA_SIGNALING,0.54157,late_stage,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.24666,early_stage,False,0.0,100.0,0.0,0.0,0.0,0.0,3.0,13.0,13.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.9825299999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UV_RESPONSE_DN,0.20656,late_stage,False,0.0,0.0,8.75,10.5,0.25,10.25,0.0,0.25,0.0
HALLMARK_UV_RESPONSE_UP,0.13662,early_stage,False,0.0,2.7,1.4999999999999998,0.15,1.0,0.05,0.25,0.25,2.1
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.50657,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_XENOBIOTIC_METABOLISM,0.57904,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP.V1_DN,0.0019199999999999998,late_stage,False,1.0,0.44,1.0,1.0,1.0,1.0,0.99,0.99,0.99
ONCOGENIC_AKT_UP.V1_UP,0.13019,early_stage,False,0.0,3.7037037037037033,0.0,0.0,0.25925925925925924,0.0,0.7037037037037037,1.2222222222222219,3.3703703703703702
ONCOGENIC_AKT_UP_MTOR_DN.V1_DN,0.27111999999999997,late_stage,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_UP,0.29174,early_stage,False,0.0,21.5,0.0,0.0,0.0,0.0,0.5,1.0,23.0
ONCOGENIC_ALK_DN.V1_DN,0.15332,early_stage,False,0.0,0.22222222222222224,0.0,0.7777777777777779,0.0,0.0,1.6666666666666667,0.8888888888888891,4.0
ONCOGENIC_ALK_DN.V1_UP,0.5163800000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_S_UP.V1_DN,0.3015,early_stage,False,2.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,24.0
ONCOGENIC_ATF2_S_UP.V1_UP,0.15353,early_stage,False,0.0,16.666666666666668,0.0,0.0,1.0,0.0,2.333333333333333,3.166666666666667,3.333333333333333
ONCOGENIC_ATF2_UP.V1_DN,0.23790999999999998,early_stage,False,0.0,0.0,0.0,0.0,0.0,0.0,1.6,8.0,11.0
ONCOGENIC_ATF2_UP.V1_UP,0.8446600000000001,early_stage,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATM_DN.V1_DN,0.8303299999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATM_DN.V1_UP,0.68435,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_DN,0.9998100000000001,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_UP,0.51157,late_stage,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_BILD_ET_AL_DN,0.26466999999999996,late_stage,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ONCOGENIC_BCAT_BILD_ET_AL_UP,0.6550600000000001,late_stage,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_DN,0.5905600000000001,late_stage,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_UP,0.32142,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_BMI1_DN.V1_DN,0.06896000000000001,early_stage,False,0.8863636363636364,0.0,0.13636363636363635,1.0454545454545454,1.318181818181818,0.6818181818181818,0.6136363636363636,0.3863636363636364,1.25
ONCOGENIC_BMI1_DN.V1_UP,0.8244299999999999,early_stage,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_DN,0.18516,early_stage,False,9.833333333333334,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.6666666666666667,7.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.42418,late_stage,False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BRCA1_DN.V1_DN,0.9429799999999999,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BRCA1_DN.V1_UP,0.22264,early_stage,False,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
ONCOGENIC_CAHOY_ASTROCYTIC,0.61848,late_stage,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROGLIAL,0.7694,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_CAHOY_NEURONAL,0.72185,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_OLIGODENDROCUTIC,0.86474,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_DN,0.34067,early_stage,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0
ONCOGENIC_CAMP_UP.V1_UP,0.12434,early_stage,False,0.07407407407407407,0.07407407407407407,1.4444444444444444,2.148148148148148,1.5555555555555554,1.148148148148148,0.4444444444444444,0.1111111111111111,2.1111111111111107
ONCOGENIC_CORDENONSI_YAP_CONSERVED_SIGNATURE,0.8592,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_DN.V1_DN,0.059820000000000005,early_stage,False,0.0,1.53125,0.0,0.03125,0.375,0.046875,1.1875,1.28125,1.453125
ONCOGENIC_CRX_DN.V1_UP,0.81535,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_NRL_DN.V1_DN,0.3569,early_stage,False,0.0,42.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
ONCOGENIC_CRX_NRL_DN.V1_UP,0.60218,late_stage,False,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_EARLY_UP.V1_DN,0.9255200000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_EARLY_UP.V1_UP,0.38344,early_stage,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_CSR_LATE_UP.V1_DN,0.7473,early_stage,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_LATE_UP.V1_UP,0.29146,early_stage,False,8.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0
ONCOGENIC_CTIP_DN.V1_DN,0.83257,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CTIP_DN.V1_UP,0.09927000000000001,early_stage,False,0.8749999999999999,0.05357142857142856,0.26785714285714285,0.4464285714285714,0.5178571428571428,0.6607142857142857,1.1071428571428568,1.357142857142857,0.9464285714285714
ONCOGENIC_CYCLIN_D1_KE_.V1_DN,0.37604,early_stage,False,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_KE_.V1_UP,0.79657,late_stage,False,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_UP.V1_DN,0.65136,early_stage,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_UP.V1_UP,0.7098,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_DCA_UP.V1_DN,0.8278200000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_DCA_UP.V1_UP,0.21461,early_stage,False,0.8333333333333334,0.0,0.0,0.16666666666666669,1.3333333333333337,0.0,1.0,2.166666666666667,0.6666666666666667
ONCOGENIC_E2F1_UP.V1_DN,0.55443,late_stage,False,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F1_UP.V1_UP,0.14436,early_stage,False,4.0,0.0,19.0,20.0,12.0,8.0,1.0,0.0,10.0
ONCOGENIC_E2F3_UP.V1_DN,0.7477,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F3_UP.V1_UP,0.84644,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_EGFR_UP.V1_DN,0.1814,early_stage,False,0.6666666666666666,0.0,0.11111111111111112,0.8333333333333334,2.1111111111111107,0.05555555555555556,0.4444444444444445,0.4444444444444445,2.3888888888888893
ONCOGENIC_EGFR_UP.V1_UP,0.17204,early_stage,False,0.0,7.000000000000001,0.0,0.0,0.0,0.0,0.625,4.25,9.25
ONCOGENIC_EIF4E_DN,0.05499,early_stage,False,0.0,1.53125,0.328125,0.0625,0.625,0.34375,0.796875,1.0,1.421875
ONCOGENIC_EIF4E_UP,0.91774,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ERBB2_UP.V1_DN,0.01286,early_stage,False,0.14444444444444446,1.0111111111111108,0.9444444444444444,1.0555555555555556,1.0888888888888888,0.8666666666666667,0.4111111111111111,0.37777777777777777,1.022222222222222
ONCOGENIC_ERBB2_UP.V1_UP,0.72713,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_EARLY.V1_DN,0.60696,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_EARLY.V1_UP,0.19462000000000002,early_stage,False,0.2,0.0,0.06666666666666668,0.0,0.06666666666666668,0.0,0.4,1.3333333333333337,1.4666666666666668
ONCOGENIC_ESC_J1_UP_LATE.V1_DN,0.49843999999999994,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_LATE.V1_UP,0.31974,early_stage,False,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,19.0
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_DN,0.15524000000000002,early_stage,False,0.0,1.272727272727273,0.0,0.0,0.0,0.0,1.272727272727273,2.227272727272727,4.045454545454546
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_UP,0.9453,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_LATE.V1_DN,0.1904,early_stage,False,0.0,0.5625,0.0625,0.0,0.1875,0.0,0.1875,0.25,2.375
ONCOGENIC_ESC_V6.5_UP_LATE.V1_UP,0.65586,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_DN,0.56831,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_UP,0.55147,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_LATE.V1_DN,0.04046,late_stage,False,1.6122448979591837,0.0,1.2857142857142858,2.0,1.4081632653061225,1.4285714285714286,0.5102040816326531,0.7755102040816326,0.163265306122449
ONCOGENIC_GCNP_SHH_UP_LATE.V1_UP,0.10380999999999999,early_stage,False,0.8823529411764705,0.0,4.235294117647058,3.117647058823529,5.294117647058823,2.5294117647058822,0.05882352941176471,0.0,0.1176470588235294
ONCOGENIC_GLI1_UP.V1_DN,0.11193,early_stage,False,3.2666666666666666,0.0,0.4,0.6,1.4,1.2,0.6,0.6666666666666667,2.8666666666666667
ONCOGENIC_GLI1_UP.V1_UP,0.90448,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HINATA_NFKB_IMMU_INF,0.54446,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HINATA_NFKB_MATRIX,0.07295,early_stage,False,0.0,1.69811320754717,0.1509433962264151,0.05660377358490565,0.4528301886792453,0.4339622641509434,0.9056603773584904,1.2075471698113207,1.490566037735849
ONCOGENIC_HOXA9_DN.V1_DN,0.95867,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HOXA9_DN.V1_UP,0.06262000000000001,early_stage,False,0.0,1.851851851851852,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.2962962962962963,0.9629629629629628,1.0555555555555554,1.7962962962962958
ONCOGENIC_IL15_UP.V1_DN,0.57748,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL15_UP.V1_UP,0.8384799999999999,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL21_UP.V1_DN,0.5826399999999999,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ONCOGENIC_IL21_UP.V1_UP,0.030260000000000002,late_stage,False,0.8142857142857143,0.0,1.042857142857143,1.4285714285714286,1.0285714285714287,1.2428571428571429,0.6428571428571429,0.7285714285714286,0.6285714285714287
ONCOGENIC_IL2_UP.V1_DN,0.72916,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL2_UP.V1_UP,0.71541,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JAK2_DN.V1_DN,0.67966,late_stage,False,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_JAK2_DN.V1_UP,0.73532,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JNK_DN.V1_DN,0.8285,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JNK_DN.V1_UP,0.6879,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.300_UP.V1_DN,0.82211,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.300_UP.V1_UP,0.13555,early_stage,False,0.23076923076923075,0.3076923076923077,0.038461538461538464,0.11538461538461538,0.3461538461538461,0.038461538461538464,2.1538461538461537,2.4615384615384617,1.1923076923076923
ONCOGENIC_KRAS.50_UP.V1_DN,0.86854,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.50_UP.V1_UP,0.75872,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_DN,0.7733399999999999,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_UP,0.5106,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ONCOGENIC_KRAS.600_UP.V1_DN,0.8363200000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600_UP.V1_UP,0.24316,early_stage,False,0.0,0.6,0.0,0.0,0.2,0.0,4.6,8.2,1.7999999999999998
ONCOGENIC_KRAS.AMP.LUNG_UP.V1_DN,0.42695,late_stage,False,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
ONCOGENIC_KRAS.AMP.LUNG_UP.V1_UP,0.6385,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.BREAST_UP.V1_DN,0.18833,late_stage,False,0.0,3.8,1.4,4.199999999999998,1.2,10.2,0.7999999999999999,0.7999999999999999,0.7999999999999999
ONCOGENIC_KRAS.BREAST_UP.V1_UP,0.39488,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ONCOGENIC_KRAS.DF.V1_DN,0.6238600000000001,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.DF.V1_UP,0.18350999999999998,early_stage,False,0.0,6.666666666666668,0.0,0.0,0.0,0.0,1.0666666666666669,2.666666666666667,5.466666666666668
ONCOGENIC_KRAS.KIDNEY_UP.V1_DN,0.6048899999999999,late_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.KIDNEY_UP.V1_UP,0.46208,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_KRAS.LUNG.BREAST_UP.V1_DN,0.56723,late_stage,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.LUNG.BREAST_UP.V1_UP,0.77895,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.LUNG_UP.V1_DN,0.6088600000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.LUNG_UP.V1_UP,0.9174,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.PROSTATE_UP.V1_DN,0.9154,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.PROSTATE_UP.V1_UP,0.79106,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LEF1_UP.V1_DN,0.7831,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LEF1_UP.V1_UP,0.73616,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_LTE2_UP.V1_DN,0.010190000000000001,early_stage,True,0.96,1.0,0.91,1.0,1.0,0.99,1.0,0.98,1.0
ONCOGENIC_LTE2_UP.V1_UP,0.46613999999999994,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_MEK_UP.V1_DN,0.0018399999999999998,early_stage,False,0.61,1.0,0.98,1.0,1.0,0.97,0.99,0.98,1.0
ONCOGENIC_MEK_UP.V1_UP,0.67672,late_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MEL18_DN.V1_DN,0.2576,early_stage,False,29.5,0.0,0.0,5.0,0.0,0.0,3.0,0.0,8.5
ONCOGENIC_MEL18_DN.V1_UP,0.44855,early_stage,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MTOR_UP.N4.V1_DN,0.31444,early_stage,False,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
ONCOGENIC_MTOR_UP.N4.V1_UP,0.70602,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_MTOR_UP.V1_DN,0.057999999999999996,late_stage,False,0.3478260869565217,0.0,1.6521739130434785,1.9782608695652173,0.9565217391304348,1.8043478260869563,0.4565217391304348,0.5217391304347826,0.2826086956521739
ONCOGENIC_MTOR_UP.V1_UP,0.03126,early_stage,False,0.0,1.162790697674419,0.813953488372093,1.0813953488372094,1.1395348837209305,0.9534883720930232,0.7325581395348837,0.7093023255813954,1.1395348837209305
ONCOGENIC_MYC_UP.V1_DN,0.67096,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
