,beanie_pval,direction,robust,excluded_LUAD_9,excluded_LUAD_3,excluded_LUAD_0,excluded_LUAD_4,excluded_LUAD_10,excluded_LUAD_5,excluded_LUAD_19,excluded_LUAD_1,excluded_LUAD_15,excluded_LUAD_13,excluded_LUAD_6,excluded_LUAD_2
HALLMARK_MTORC1_SIGNALING,0.35616,early_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MYC_TARGETS_V1,0.72226,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_MYC_TARGETS_V2,0.27987,early_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MYOGENESIS,0.9670700000000001,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_NOTCH_SIGNALING,0.51986,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.83237,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_P53_PATHWAY,0.40743,early_stage,False,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_PANCREAS_BETA_CELLS,0.4639,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PEROXISOME,0.8006,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.68462,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PROTEIN_SECRETION,0.15712,late_stage,False,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.55076,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_SPERMATOGENESIS,0.0758,early_stage,False,0.0,2.4375,0.0,1.5625,2.0625,1.25,4.9375,4.4375,3.9375,0.0625,0.1875,0.0
HALLMARK_TGF_BETA_SIGNALING,0.43543000000000004,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.8984700000000001,early_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.19163,late_stage,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,38.0,13.0,9.0,0.0
HALLMARK_UV_RESPONSE_DN,0.05155,late_stage,False,0.0,0.0,1.3333333333333337,1.5166666666666668,1.6666666666666667,0.23333333333333334,1.2333333333333334,1.6666666666666667,0.75,0.06666666666666668,0.0,0.0
HALLMARK_UV_RESPONSE_UP,0.69462,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.73196,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_XENOBIOTIC_METABOLISM,0.87818,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP.V1_DN,0.00018,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP.V1_UP,0.28138,early_stage,False,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_DN,0.33119,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_UP,0.7925,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ALK_DN.V1_DN,0.030180000000000002,early_stage,False,1.1162790697674418,0.034883720930232565,0.41860465116279066,0.4651162790697675,1.1395348837209305,0.6744186046511628,0.7093023255813954,0.5465116279069767,0.034883720930232565,1.127906976744186,1.1511627906976745,1.0930232558139534
ONCOGENIC_ALK_DN.V1_UP,0.64674,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_S_UP.V1_DN,0.30945,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ONCOGENIC_ATF2_S_UP.V1_UP,0.65042,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_UP.V1_DN,0.67308,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_ATF2_UP.V1_UP,0.47472,early_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATM_DN.V1_DN,0.9787799999999999,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATM_DN.V1_UP,0.96062,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_DN,0.99998,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_UP,0.9546600000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_BILD_ET_AL_DN,0.18342,late_stage,False,0.0,0.0,0.0,0.857142857142857,3.8571428571428568,0.0,1.0,1.4285714285714286,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0
ONCOGENIC_BCAT_BILD_ET_AL_UP,0.5324399999999999,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_DN,0.41413999999999995,late_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_UP,0.12229000000000001,early_stage,False,3.333333333333333,0.0,26.000000000000004,1.3333333333333337,0.0,0.0,1.6666666666666667,0.0,0.0,2.333333333333333,1.6666666666666667,0.33333333333333337
ONCOGENIC_BMI1_DN.V1_DN,0.29368,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN.V1_UP,0.45885,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_DN,0.56153,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.33486,late_stage,False,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BRCA1_DN.V1_DN,0.63431,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BRCA1_DN.V1_UP,0.2475,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROCYTIC,0.55991,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROGLIAL,0.17501,late_stage,False,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_NEURONAL,0.6892,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_OLIGODENDROCUTIC,0.8121,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_DN,0.9945799999999999,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_UP,0.92945,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CORDENONSI_YAP_CONSERVED_SIGNATURE,0.36122,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_DN.V1_DN,0.9051600000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_DN.V1_UP,0.48236,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_NRL_DN.V1_DN,0.8016399999999999,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_NRL_DN.V1_UP,0.511,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_EARLY_UP.V1_DN,0.22621999999999998,late_stage,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_EARLY_UP.V1_UP,0.8265600000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_LATE_UP.V1_DN,0.72525,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_LATE_UP.V1_UP,0.33324000000000004,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CTIP_DN.V1_DN,0.40665999999999997,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ONCOGENIC_CTIP_DN.V1_UP,0.64212,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_KE_.V1_DN,0.67543,late_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_KE_.V1_UP,0.92276,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_UP.V1_DN,0.8155399999999999,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_UP.V1_UP,0.7407199999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_DCA_UP.V1_DN,0.99616,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_DCA_UP.V1_UP,0.7580399999999999,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F1_UP.V1_DN,0.60842,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F1_UP.V1_UP,0.25449,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
ONCOGENIC_E2F3_UP.V1_DN,0.10643,late_stage,False,0.0,7.142857142857142,0.0,3.1428571428571432,6.785714285714286,0.21428571428571425,0.07142857142857142,1.0,0.7142857142857143,0.0,0.0,0.0
ONCOGENIC_E2F3_UP.V1_UP,0.2021,early_stage,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ONCOGENIC_EGFR_UP.V1_DN,0.68271,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_EGFR_UP.V1_UP,0.5940300000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_EIF4E_DN,0.89654,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_EIF4E_UP,0.6379199999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ERBB2_UP.V1_DN,0.57452,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ERBB2_UP.V1_UP,0.78458,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_EARLY.V1_DN,0.50622,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_EARLY.V1_UP,0.67633,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_LATE.V1_DN,0.49893999999999994,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_LATE.V1_UP,0.91779,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_DN,0.86129,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_UP,0.73164,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_LATE.V1_DN,0.8094,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_LATE.V1_UP,0.92861,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_DN,0.94665,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_UP,0.65478,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_LATE.V1_DN,0.051320000000000005,late_stage,False,1.421875,1.53125,0.0,1.390625,1.40625,0.65625,1.296875,0.765625,1.515625,0.25,0.25,0.015625
ONCOGENIC_GCNP_SHH_UP_LATE.V1_UP,0.80237,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GLI1_UP.V1_DN,0.57891,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GLI1_UP.V1_UP,0.0933,late_stage,False,0.0,0.125,0.8125,1.125,0.6875,1.125,2.6875,0.375,0.125,2.625,3.3125,0.625
ONCOGENIC_HINATA_NFKB_IMMU_INF,0.27191,late_stage,False,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_HINATA_NFKB_MATRIX,0.25209000000000004,early_stage,False,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
ONCOGENIC_HOXA9_DN.V1_DN,0.4369,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HOXA9_DN.V1_UP,0.34234000000000003,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL15_UP.V1_DN,0.49738000000000004,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL15_UP.V1_UP,0.87725,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL21_UP.V1_DN,0.9616399999999999,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL21_UP.V1_UP,0.13647,late_stage,False,0.0,17.0,0.0,0.0,42.0,0.0,32.0,26.0,37.0,0.0,1.0,1.0
ONCOGENIC_IL2_UP.V1_DN,0.49259,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL2_UP.V1_UP,0.7734800000000001,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JAK2_DN.V1_DN,0.9316399999999999,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JAK2_DN.V1_UP,0.38368,early_stage,False,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_JNK_DN.V1_DN,0.51863,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_JNK_DN.V1_UP,0.5171,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.300_UP.V1_DN,0.62738,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.300_UP.V1_UP,0.35753,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_KRAS.50_UP.V1_DN,0.80898,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.50_UP.V1_UP,0.56717,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_DN,0.54006,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600.LUNG.BREAST_UP.V1_UP,0.70928,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600_UP.V1_DN,0.27264,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.600_UP.V1_UP,0.33492,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.AMP.LUNG_UP.V1_DN,0.05971,early_stage,False,0.0,0.0,2.0408163265306123,0.5918367346938775,1.2653061224489797,0.5714285714285715,0.8775510204081632,0.9183673469387756,0.163265306122449,1.7142857142857142,1.9183673469387756,0.326530612244898
ONCOGENIC_KRAS.AMP.LUNG_UP.V1_UP,0.23931999999999998,early_stage,False,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_KRAS.BREAST_UP.V1_DN,0.30739,late_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
ONCOGENIC_KRAS.BREAST_UP.V1_UP,0.34144,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_KRAS.DF.V1_DN,0.81305,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.DF.V1_UP,0.61064,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.KIDNEY_UP.V1_DN,0.60338,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.KIDNEY_UP.V1_UP,0.70586,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.LUNG.BREAST_UP.V1_DN,0.93196,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.LUNG.BREAST_UP.V1_UP,0.63274,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.LUNG_UP.V1_DN,0.35038,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.LUNG_UP.V1_UP,0.5958600000000001,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_KRAS.PROSTATE_UP.V1_DN,0.54573,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
