,beanie_pval,direction,robust,excluded_BRCA_4,excluded_BRCA_39,excluded_BRCA_14,excluded_BRCA_11,excluded_BRCA_32,excluded_BRCA_21,excluded_BRCA_22,excluded_BRCA_17,excluded_BRCA_19,excluded_BRCA_0,excluded_BRCA_9,excluded_BRCA_30,excluded_BRCA_23,excluded_BRCA_16,excluded_BRCA_6,excluded_BRCA_7
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.9999899999999999,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.14265999999999998,treatment_naive,False,0.0,1.4,0.33333333333333337,6.6000000000000005,0.0,2.066666666666667,0.0,6.666666666666668,0.0,0.2,0.06666666666666668,0.0,3.066666666666667,0.6,4.8,0.0
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY,0.99997,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_II_INTERFERON_SIGNALING,0.00244,treatment_naive,False,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,0.86
WP_TYPE_III_INTERFERON_SIGNALING,0.01998,treatment_naive,False,0.372093023255814,0.5116279069767442,0.5232558139534884,1.127906976744186,0.6744186046511628,0.5465116279069767,1.1511627906976745,0.9883720930232558,0.9186046511627908,0.813953488372093,1.0116279069767442,0.4883720930232558,1.1046511627906976,1.0116279069767442,1.0,0.2674418604651163
BROWNE_INTERFERON_RESPONSIVE_GENES,0.0,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ZHANG_INTERFERON_RESPONSE,5e-05,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86
REACTOME_CYTOPROTECTION_BY_HMOX1,0.00978,treatment_naive,False,0.10752688172043012,0.989247311827957,0.8924731182795698,0.6666666666666666,1.075268817204301,1.064516129032258,1.064516129032258,0.8602150537634409,1.075268817204301,0.989247311827957,0.6774193548387096,0.01075268817204301,1.075268817204301,1.075268817204301,0.913978494623656,0.7741935483870968
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,0.13195,treatment_naive,False,0.2857142857142857,0.0,4.714285714285714,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.4285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,4.857142857142857,1.0,2.0,0.2857142857142857
PAM50,0.46083999999999997,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
WU_ET_AL_BASAL_SC,0.39421999999999996,treatment_naive,False,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
WU_ET_AL_HER2E_SC,0.03216,treatment_naive,False,0.0,1.426470588235294,0.5,1.1911764705882353,0.4705882352941176,1.4705882352941175,1.3088235294117647,0.6764705882352939,0.6176470588235293,0.4558823529411765,0.9117647058823528,0.0,1.441176470588235,1.3529411764705879,1.0441176470588234,0.32352941176470584
WU_ET_AL_LUMA_SC,0.43598000000000003,treatment_naive,False,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WU_EL_AL_LUMB_SC,0.54056,treatment_naive,False,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ADIPOGENESIS,0.6885399999999999,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_ALLOGRAFT_REJECTION,0.06452999999999999,treatment_naive,False,0.0,4.181818181818182,2.5,4.545454545454546,0.0,4.318181818181818,2.9545454545454546,4.090909090909091,0.0,0.0,1.4090909090909092,0.0,4.363636363636363,4.5,0.8181818181818181,0.31818181818181823
HALLMARK_ANDROGEN_RESPONSE,0.1509,anti_PD1,False,4.523809523809524,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,1.6666666666666663,0.0,0.0,3.8571428571428577,2.095238095238096,4.571428571428571,0.8571428571428571,0.0,0.047619047619047616,1.380952380952381
HALLMARK_ANGIOGENESIS,0.16957,treatment_naive,False,0.0,1.5,9.75,0.75,6.75,20.5,0.0,23.5,0.0,4.0,0.0,0.0,1.5,0.0,13.75,0.0
HALLMARK_APICAL_JUNCTION,0.34525,treatment_naive,False,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APICAL_SURFACE,0.19969,treatment_naive,False,0.5,1.7500000000000002,0.375,0.0,0.25,1.125,0.0,8.375,0.0,0.8750000000000001,0.0,0.0,2.875,0.75,0.25,2.875
HALLMARK_APOPTOSIS,0.08286,treatment_naive,False,0.0,1.4999999999999998,3.4,1.9,1.4499999999999995,4.85,0.0,4.25,0.2,0.15,0.1,0.0,2.3,3.7,2.15,0.1
HALLMARK_BILE_ACID_METABOLISM,0.04019,anti_PD1,False,0.8552631578947368,0.9736842105263158,0.8815789473684211,0.0,0.986842105263158,0.0,0.736842105263158,0.10526315789473684,0.5,1.3157894736842106,0.02631578947368421,1.118421052631579,0.763157894736842,0.013157894736842105,1.2368421052631575,0.35526315789473684
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.84851,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_COAGULATION,0.55812,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_COMPLEMENT,0.12397000000000001,treatment_naive,False,0.0,2.6,0.7000000000000001,9.9,0.1,10.0,0.0,3.7,0.0,0.0,0.5,0.0,1.0,9.1,2.1,0.0
HALLMARK_DNA_REPAIR,0.41355,treatment_naive,False,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
HALLMARK_E2F_TARGETS,0.04637,treatment_naive,False,0.9032258064516129,0.5806451612903225,0.9516129032258064,1.6129032258064515,0.8548387096774194,0.11290322580645162,1.2903225806451617,0.3225806451612904,0.5161290322580645,0.25806451612903225,0.5483870967741936,0.04838709677419355,1.4677419354838708,1.6129032258064515,0.935483870967742,1.596774193548387
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.07632,treatment_naive,False,0.0,1.6666666666666663,3.3809523809523814,0.14285714285714285,4.428571428571429,4.380952380952381,0.6666666666666667,4.571428571428571,0.9523809523809524,1.809523809523809,0.0,0.0,2.4761904761904763,0.8095238095238096,3.2857142857142856,0.047619047619047616
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.35581,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_ESTROGEN_RESPONSE_LATE,0.51856,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_FATTY_ACID_METABOLISM,0.67515,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_G2M_CHECKPOINT,0.1892,treatment_naive,False,0.25,0.0,0.375,10.0,0.25,0.625,0.75,0.8750000000000001,0.25,0.125,0.0,0.0,1.0,7.875,2.0,3.625
HALLMARK_GLYCOLYSIS,0.041960000000000004,treatment_naive,False,0.03636363636363636,0.7818181818181817,1.6363636363636362,1.5818181818181818,1.6545454545454543,1.2181818181818185,1.7454545454545451,0.4909090909090909,1.2,1.1454545454545453,0.0,0.0,0.9090909090909092,1.3090909090909089,1.7636363636363634,0.18181818181818185
HALLMARK_HEDGEHOG_SIGNALING,0.24541999999999997,treatment_naive,False,0.0,0.0,6.0,0.0,14.000000000000002,0.0,1.0,0.0,25.0,38.0,0.0,0.0,2.0,0.0,0.0,0.0
HALLMARK_HEME_METABOLISM,0.33055999999999996,treatment_naive,False,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
HALLMARK_HYPOXIA,0.07511,treatment_naive,False,0.037037037037037035,0.2962962962962963,1.7962962962962958,0.1111111111111111,1.6851851851851851,0.9629629629629628,0.4444444444444444,0.4074074074074074,0.8703703703703702,1.851851851851852,0.0,0.0,0.2037037037037037,0.037037037037037035,1.851851851851852,0.0
HALLMARK_IL2_STAT5_SIGNALING,0.40874,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.01962,treatment_naive,False,0.6354166666666666,0.33333333333333337,1.0416666666666667,1.0416666666666667,0.90625,1.0416666666666667,0.9791666666666666,1.0,0.11458333333333336,0.96875,0.8645833333333334,0.21875,1.0416666666666667,1.0208333333333333,1.0416666666666667,0.8020833333333334
HALLMARK_INFLAMMATORY_RESPONSE,0.0553,treatment_naive,False,0.08771929824561404,0.8070175438596492,1.1578947368421053,1.7543859649122808,0.10526315789473684,1.7543859649122808,0.6491228070175439,1.7543859649122808,0.0,0.0,0.07017543859649124,0.2807017543859649,1.7017543859649125,1.56140350877193,1.6315789473684212,0.0
HALLMARK_KRAS_SIGNALING_DN,0.73063,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_KRAS_SIGNALING_UP,0.18389,treatment_naive,False,0.0,53.0,0.0,28.000000000000004,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0
HALLMARK_MITOTIC_SPINDLE,0.05836,treatment_naive,False,0.14035087719298248,1.2456140350877194,0.3859649122807018,1.4561403508771933,1.2807017543859651,0.2456140350877193,0.8771929824561404,0.7543859649122807,0.9824561403508774,1.1754385964912282,1.0175438596491229,0.0,0.9824561403508774,1.3333333333333337,0.9649122807017544,0.5789473684210527
HALLMARK_MTORC1_SIGNALING,0.025,treatment_naive,False,0.2705882352941177,0.9294117647058824,1.1411764705882352,1.1764705882352942,1.152941176470588,1.1764705882352942,1.1764705882352942,0.2,0.8235294117647058,0.023529411764705882,0.05882352941176471,0.047058823529411764,1.1294117647058823,1.1764705882352942,1.1176470588235294,0.7058823529411765
HALLMARK_MYC_TARGETS_V1,0.25827,treatment_naive,False,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
HALLMARK_MYC_TARGETS_V2,0.03874,treatment_naive,False,1.0869565217391306,0.855072463768116,1.3043478260869568,1.376811594202899,1.0869565217391306,0.10144927536231886,1.1884057971014492,0.15942028985507248,0.057971014492753624,0.9855072463768118,0.15942028985507248,0.01449275362318841,1.391304347826087,1.3623188405797102,1.0579710144927537,0.8985507246376813
HALLMARK_MYOGENESIS,0.7931,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_NOTCH_SIGNALING,0.9599200000000001,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.27671999999999997,treatment_naive,False,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
HALLMARK_P53_PATHWAY,0.6331600000000001,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PANCREAS_BETA_CELLS,0.67898,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PEROXISOME,0.52669,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.00013000000000000002,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PROTEIN_SECRETION,0.10234,treatment_naive,False,0.0,0.0,14.333333333333336,2.666666666666667,5.0,1.3333333333333337,4.333333333333334,0.0,16.0,0.6666666666666667,0.0,0.0,3.666666666666667,4.666666666666667,0.33333333333333337,2.333333333333333
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.07432000000000001,treatment_naive,False,0.0,0.0,1.6521739130434785,3.652173913043478,1.391304347826087,4.0,2.652173913043478,0.043478260869565216,2.0869565217391304,0.043478260869565216,0.08695652173913042,0.0,2.8695652173913038,3.4782608695652173,1.2608695652173911,1.5217391304347825
HALLMARK_SPERMATOGENESIS,0.58354,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_TGF_BETA_SIGNALING,0.9406,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.4739,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.04572,treatment_naive,False,0.08333333333333333,0.125,1.3333333333333333,0.8472222222222222,1.3194444444444444,0.3611111111111112,1.2916666666666667,0.875,0.7777777777777779,1.0555555555555556,0.01388888888888889,0.0,1.2777777777777781,1.3055555555555556,1.375,0.3611111111111112
HALLMARK_UV_RESPONSE_DN,0.51988,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UV_RESPONSE_UP,0.0413,treatment_naive,False,0.1931818181818182,0.3522727272727273,0.7045454545454546,0.625,1.1363636363636365,0.3409090909090909,0.7840909090909091,0.0,0.8636363636363636,1.0227272727272727,0.0,0.011363636363636364,1.125,0.9886363636363636,1.1363636363636365,0.6931818181818181
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.82819,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_XENOBIOTIC_METABOLISM,0.61712,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP.V1_DN,0.1477,treatment_naive,False,0.4444444444444445,0.4444444444444445,2.1111111111111107,0.0,0.11111111111111112,4.4444444444444455,0.0,11.111111111111109,0.0,2.6666666666666665,0.11111111111111112,0.0,2.1111111111111107,0.0,1.5555555555555558,0.22222222222222224
ONCOGENIC_AKT_UP.V1_UP,0.7541399999999999,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_DN,0.8254299999999999,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_UP,0.77968,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ALK_DN.V1_DN,0.010709999999999999,anti_PD1,False,1.0439560439560438,0.7472527472527473,1.0989010989010988,1.021978021978022,0.7252747252747253,0.03296703296703297,1.021978021978022,0.6153846153846154,1.010989010989011,1.0989010989010988,0.3956043956043956,0.010989010989010988,1.0549450549450552,1.021978021978022,0.9010989010989009,1.0989010989010988
ONCOGENIC_ALK_DN.V1_UP,0.2318,treatment_naive,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
ONCOGENIC_ATF2_S_UP.V1_DN,0.21746999999999997,treatment_naive,False,1.0,0.0,26.0,0.0,10.0,33.0,0.0,76.0,0.0,3.0,0.0,0.0,5.0,0.0,4.0,0.0
ONCOGENIC_ATF2_S_UP.V1_UP,0.26347,treatment_naive,False,9.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.5000000000000004,0.0,0.0
ONCOGENIC_ATF2_UP.V1_DN,0.33008000000000004,treatment_naive,False,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_UP.V1_UP,0.19792,treatment_naive,False,1.0,1.0,0.0,0.0,29.0,24.0,2.0,0.0,0.0,1.5,0.0,0.0,5.0,1.0,1.5,0.5
ONCOGENIC_ATM_DN.V1_DN,0.08594,anti_PD1,False,0.0,0.2857142857142857,0.6428571428571428,6.7142857142857135,0.0,0.35714285714285715,0.9285714285714284,0.0,0.4285714285714285,1.0,0.0,0.0,0.9285714285714284,0.21428571428571425,2.071428571428571,3.214285714285714
ONCOGENIC_ATM_DN.V1_UP,0.63464,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_DN,0.43396,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_BCAT.100_UP.V1_UP,0.83462,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_BILD_ET_AL_DN,0.13965,treatment_naive,False,0.0,0.3529411764705882,2.3529411764705883,0.2352941176470588,0.0,0.7058823529411764,0.0,1.5882352941176472,0.1176470588235294,4.0588235294117645,0.2352941176470588,0.0,0.411764705882353,0.0,2.88235294117647,1.4705882352941175
ONCOGENIC_BCAT_BILD_ET_AL_UP,0.8774,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_DN,0.9673799999999999,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_UP,0.60775,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN.V1_DN,0.7941,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN.V1_UP,0.13509000000000002,treatment_naive,False,0.0,6.857142857142856,1.0,1.4285714285714286,0.7142857142857143,14.142857142857142,0.5714285714285714,9.428571428571429,0.0,0.0,0.0,0.0,1.4285714285714286,3.714285714285714,4.0,0.14285714285714285
ONCOGENIC_BMI1_DN_MEL18_DN.V1_DN,0.65885,treatment_naive,False,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.08896,treatment_naive,False,0.0,3.4444444444444446,1.3333333333333333,1.3888888888888888,2.0,5.5555555555555545,1.0555555555555556,3.9444444444444438,0.0,0.0,0.0,0.16666666666666666,1.4444444444444446,3.2222222222222223,3.833333333333333,0.3333333333333333
ONCOGENIC_BRCA1_DN.V1_DN,0.10912000000000001,treatment_naive,False,3.84,0.28,0.36,0.0,3.68,0.0,2.68,0.64,1.8,2.96,0.04,0.0,3.6,0.88,0.04,0.28
ONCOGENIC_BRCA1_DN.V1_UP,0.8266100000000001,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROCYTIC,0.87144,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROGLIAL,0.31988,treatment_naive,False,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ONCOGENIC_CAHOY_NEURONAL,0.83124,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_OLIGODENDROCUTIC,0.6670699999999999,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_DN,0.33091,treatment_naive,False,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ONCOGENIC_CAMP_UP.V1_UP,0.05432000000000001,treatment_naive,False,0.0,0.56,2.72,3.08,3.6,0.56,1.32,1.72,2.68,0.48,0.0,0.0,2.92,3.04,1.8,0.04
ONCOGENIC_CORDENONSI_YAP_CONSERVED_SIGNATURE,0.5956199999999999,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_DN.V1_DN,0.5100399999999999,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_DN.V1_UP,0.43308,treatment_naive,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_NRL_DN.V1_DN,0.67624,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_NRL_DN.V1_UP,0.22459,treatment_naive,False,5.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,11.0,37.0,0.0,0.0,8.0,0.0,0.0,0.0
ONCOGENIC_CSR_EARLY_UP.V1_DN,0.0428,treatment_naive,False,0.5333333333333333,0.84,0.8266666666666667,0.4,1.12,1.3333333333333333,0.06666666666666668,1.3333333333333333,1.04,1.0133333333333334,0.7999999999999999,0.013333333333333334,1.3066666666666666,1.08,1.0666666666666669,0.4
ONCOGENIC_CSR_EARLY_UP.V1_UP,0.14390999999999998,treatment_naive,False,1.4999999999999998,3.1,1.1,5.6000000000000005,0.8999999999999999,2.0,0.2,0.2,0.0,0.1,0.0,0.0,0.3,5.6000000000000005,5.999999999999999,0.1
ONCOGENIC_CSR_LATE_UP.V1_DN,0.8514299999999999,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
