,beanie_pval,direction,robust,excluded_BRCA_41,excluded_BRCA_12,excluded_BRCA_40,excluded_BRCA_21,excluded_BRCA_17,excluded_BRCA_36,excluded_BRCA_1,excluded_BRCA_42,excluded_BRCA_15,excluded_BRCA_50,excluded_BRCA_51,excluded_BRCA_5,excluded_BRCA_27,excluded_BRCA_31,excluded_BRCA_34,excluded_BRCA_29,excluded_BRCA_45
WU_ET_AL_HER2E_SC,0.47626,ER+,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WU_ET_AL_LUMA_SC,0.00417,ER+,False,1.0,1.0,0.98,1.0,1.0,1.0,0.95,0.99,1.0,1.0,0.97,1.0,0.99,1.0,1.0,0.99,0.83
WU_EL_AL_LUMB_SC,0.0055,ER+,False,0.96,0.98,1.0,1.0,0.6,0.97,1.0,0.99,1.0,0.95,0.94,1.0,1.0,0.98,0.93,1.0,0.63
HALLMARK_ADIPOGENESIS,0.03424,TNBC,False,1.7291666666666667,0.875,1.6250000000000002,0.0625,1.9375,1.4375,1.3125,1.6666666666666667,0.625,1.25,1.6041666666666667,1.0208333333333333,0.6458333333333334,1.25,1.8541666666666667,1.4791666666666667,1.875
HALLMARK_ALLOGRAFT_REJECTION,0.55356,ER+,False,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HALLMARK_ANDROGEN_RESPONSE,0.00343,TNBC,False,1.0,1.0,1.0,0.33,1.0,0.99,1.0,1.0,0.99,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0
HALLMARK_ANGIOGENESIS,0.55569,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
HALLMARK_APICAL_JUNCTION,0.00674,TNBC,False,1.0,0.99,1.0,0.99,0.61,0.98,1.0,0.99,0.94,0.99,0.99,0.97,1.0,0.97,1.0,0.99,1.0
HALLMARK_APICAL_SURFACE,0.13444,TNBC,False,1.5,1.125,1.125,0.5,0.0,2.375,0.75,1.0,0.625,1.5,2.5,0.375,2.125,1.625,1.5,4.625,1.5
HALLMARK_APOPTOSIS,0.5163300000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_BILE_ACID_METABOLISM,0.26550999999999997,TNBC,False,3.0,0.0,4.5,0.0,7.000000000000001,0.5,0.0,1.0,0.0,2.0,1.0,0.5,0.0,0.5,1.0,0.0,1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.04846,TNBC,False,2.3529411764705883,1.4117647058823528,1.9117647058823528,0.0,2.9411764705882346,0.7941176470588235,0.9117647058823528,1.2352941176470589,0.6176470588235293,1.5294117647058822,1.852941176470588,0.9117647058823528,1.7352941176470589,1.0294117647058822,2.0588235294117645,1.9117647058823528,1.7647058823529411
HALLMARK_COAGULATION,0.51374,TNBC,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_COMPLEMENT,0.1258,TNBC,False,6.999999999999999,3.6,7.8,0.0,12.8,1.2,3.2,2.0,1.7999999999999998,0.6,9.2,0.6,2.0,0.2,6.6,0.6,3.8
HALLMARK_DNA_REPAIR,0.44953999999999994,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
HALLMARK_E2F_TARGETS,0.07274,ER+,False,0.8108108108108107,0.6486486486486487,0.6756756756756757,0.1891891891891892,0.945945945945946,0.2702702702702703,1.351351351351351,0.8378378378378378,2.5135135135135136,0.8378378378378378,0.2972972972972973,0.3783783783783784,1.8378378378378382,0.8648648648648649,0.4594594594594595,1.2702702702702702,2.243243243243243
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.41594,TNBC,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.56666,ER+,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ESTROGEN_RESPONSE_LATE,0.88982,TNBC,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_FATTY_ACID_METABOLISM,0.14736,TNBC,False,6.0,2.666666666666667,10.0,0.0,5.666666666666668,2.666666666666667,4.0,9.000000000000002,0.0,3.0,6.333333333333334,0.6666666666666667,0.0,2.666666666666667,6.333333333333334,1.3333333333333337,13.000000000000002
HALLMARK_G2M_CHECKPOINT,0.3501,ER+,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_GLYCOLYSIS,0.8377600000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HEDGEHOG_SIGNALING,0.6428,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HEME_METABOLISM,0.0030800000000000003,TNBC,True,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HYPOXIA,0.37171,TNBC,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
HALLMARK_IL2_STAT5_SIGNALING,0.013619999999999998,TNBC,False,1.119047619047619,1.0595238095238095,1.1904761904761905,0.4523809523809524,1.0833333333333337,1.0476190476190477,1.130952380952381,0.9761904761904762,0.8571428571428571,1.0714285714285714,1.1666666666666667,0.9166666666666669,1.0952380952380951,0.9166666666666669,1.1785714285714286,1.1666666666666667,1.1904761904761905
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.32816999999999996,TNBC,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
HALLMARK_INFLAMMATORY_RESPONSE,0.45421999999999996,TNBC,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_KRAS_SIGNALING_DN,0.3533,ER+,False,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
HALLMARK_KRAS_SIGNALING_UP,0.007940000000000001,TNBC,True,0.99,1.0,0.99,0.94,0.98,0.95,1.0,1.0,1.0,0.98,0.99,0.96,1.0,0.95,1.0,0.96,1.0
HALLMARK_MITOTIC_SPINDLE,0.03904,TNBC,False,1.3387096774193548,1.5,0.9838709677419356,1.6129032258064515,0.0,0.9193548387096774,0.6290322580645161,0.6451612903225807,0.3870967741935484,1.0161290322580645,0.7580645161290323,1.1774193548387095,0.8870967741935485,0.4032258064516129,1.032258064516129,1.3225806451612905,1.2096774193548387
HALLMARK_MTORC1_SIGNALING,0.19751,ER+,False,0.0,0.16666666666666669,1.3333333333333337,16.333333333333332,0.0,0.16666666666666669,0.6666666666666667,0.5,8.166666666666666,1.6666666666666667,0.16666666666666669,3.0,2.166666666666667,0.16666666666666669,1.0,0.16666666666666669,0.0
HALLMARK_MYC_TARGETS_V1,0.03175,ER+,False,0.8764044943820225,0.7303370786516854,0.8202247191011236,0.9438202247191012,0.6292134831460675,0.4494382022471911,0.8651685393258427,0.6179775280898877,1.1123595505617978,1.0,0.7752808988764044,0.9438202247191012,1.0449438202247192,0.7528089887640451,0.8539325842696629,0.4719101123595506,1.1123595505617978
HALLMARK_MYC_TARGETS_V2,0.06142,ER+,False,1.4444444444444444,0.8222222222222222,1.1333333333333333,2.0,0.022222222222222227,0.3333333333333333,1.022222222222222,0.7555555555555555,2.0444444444444443,1.1777777777777778,0.5333333333333333,0.6888888888888889,1.7111111111111108,0.7777777777777777,0.5777777777777778,0.3111111111111111,2.088888888888889
HALLMARK_MYOGENESIS,0.5254,TNBC,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_NOTCH_SIGNALING,0.02188,TNBC,False,1.0123456790123455,1.0246913580246912,1.148148148148148,0.32098765432098764,1.2222222222222219,0.8518518518518517,0.7654320987654321,1.0864197530864197,0.8395061728395061,1.148148148148148,1.0617283950617282,1.0,1.1728395061728394,1.0,1.1604938271604937,1.0617283950617282,0.19753086419753085
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.52878,ER+,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
HALLMARK_P53_PATHWAY,0.5575600000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PANCREAS_BETA_CELLS,0.85046,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PEROXISOME,0.1612,TNBC,False,2.0,0.75,4.0,0.0,7.5,3.75,1.25,4.75,0.25,0.75,2.5,1.5,0.75,1.5,2.0,0.5,2.75
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.68758,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PROTEIN_SECRETION,0.1316,TNBC,False,3.8,3.3,2.8999999999999995,1.3,0.0,0.6,1.4,0.6,0.2,1.2,2.6,0.4,0.2,0.5,0.8999999999999999,0.1,6.9
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.59129,ER+,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_SPERMATOGENESIS,0.9059200000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_TGF_BETA_SIGNALING,0.021759999999999998,TNBC,False,0.8604651162790697,1.1046511627906976,0.9302325581395351,1.162790697674419,0.058139534883720936,0.8720930232558141,0.8255813953488372,0.8837209302325582,0.6976744186046512,0.8953488372093024,1.0232558139534884,0.9883720930232558,1.0348837209302326,0.7093023255813954,1.1511627906976745,0.8720930232558141,1.1162790697674418
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.034839999999999996,TNBC,False,1.3230769230769228,1.1384615384615384,1.3846153846153846,0.7076923076923077,0.3538461538461539,1.0307692307692309,0.7076923076923077,0.7076923076923077,0.5076923076923077,1.0769230769230769,1.4153846153846157,0.9846153846153846,1.4307692307692308,0.5846153846153846,1.5384615384615383,1.0769230769230769,1.5230769230769232
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.51144,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_UV_RESPONSE_DN,0.0005200000000000001,TNBC,False,1.0,1.0,1.0,1.0,0.74,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UV_RESPONSE_UP,0.32671,ER+,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.62669,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_XENOBIOTIC_METABOLISM,0.00477,TNBC,False,1.0,1.0,0.98,0.01,1.0,1.0,1.0,0.99,0.97,1.0,1.0,0.94,0.94,1.0,0.98,0.95,1.0
ONCOGENIC_AKT_UP.V1_DN,0.11519000000000001,TNBC,False,1.4545454545454546,0.18181818181818185,1.3636363636363635,0.0,4.909090909090909,1.8181818181818183,1.0,1.3636363636363635,0.18181818181818185,0.6363636363636365,1.9090909090909092,1.272727272727273,2.272727272727273,0.6363636363636365,5.0,1.181818181818182,1.272727272727273
ONCOGENIC_AKT_UP.V1_UP,0.59341,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_DN,0.5997600000000001,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_UP,0.29701,TNBC,False,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ONCOGENIC_ALK_DN.V1_DN,0.09504,ER+,False,0.1951219512195122,1.804878048780488,0.14634146341463414,2.1463414634146343,0.07317073170731707,0.9756097560975612,0.41463414634146345,0.4878048780487805,0.36585365853658536,1.146341463414634,0.0975609756097561,0.8048780487804879,0.12195121951219512,0.1951219512195122,0.7560975609756098,0.5121951219512195,0.8048780487804879
ONCOGENIC_ALK_DN.V1_UP,0.9759899999999999,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_S_UP.V1_DN,0.18596,TNBC,False,9.5,6.0,1.0,0.0,2.5,0.0,3.0,1.5,1.5,1.5,0.5,0.0,6.0,1.5,9.0,0.5,5.5
ONCOGENIC_ATF2_S_UP.V1_UP,0.66927,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_ATF2_UP.V1_DN,0.04871,TNBC,False,1.6904761904761905,1.4285714285714286,1.0714285714285714,0.0,1.8333333333333333,0.4761904761904762,1.119047619047619,1.2142857142857144,0.7380952380952381,1.1666666666666667,1.1904761904761905,0.5238095238095238,1.4761904761904765,0.5,1.3095238095238098,1.4285714285714286,2.3095238095238098
ONCOGENIC_ATF2_UP.V1_UP,0.25439,TNBC,False,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,23.0
ONCOGENIC_ATM_DN.V1_DN,0.61038,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATM_DN.V1_UP,0.5723199999999999,ER+,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_DN,0.07123,TNBC,False,1.1034482758620692,0.9655172413793104,1.1724137931034484,0.1724137931034483,1.3793103448275863,1.6206896551724141,1.0,0.8965517241379312,0.7241379310344828,1.6206896551724141,0.5862068965517242,1.206896551724138,1.1034482758620692,0.5862068965517242,1.1034482758620692,1.310344827586207,2.2068965517241383
ONCOGENIC_BCAT.100_UP.V1_UP,0.30641,TNBC,False,1.0,0.0,1.0,0.0,0.0,3.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,11.0
ONCOGENIC_BCAT_BILD_ET_AL_DN,0.0429,TNBC,False,1.0172413793103448,0.9310344827586208,1.0344827586206895,1.706896551724138,0.01724137931034483,0.5689655172413793,0.7241379310344828,0.8275862068965517,0.4655172413793104,1.0689655172413794,0.603448275862069,1.2758620689655171,0.8965517241379312,0.8103448275862071,1.0344827586206895,0.9310344827586208,0.603448275862069
ONCOGENIC_BCAT_BILD_ET_AL_UP,0.17895999999999998,ER+,False,1.0,1.5,0.25,6.25,0.0,1.0,0.25,1.25,7.000000000000001,1.0,0.25,0.75,1.7500000000000002,1.5,1.5,1.7500000000000002,1.7500000000000002
ONCOGENIC_BCAT_GDS748_DN,0.50071,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_BCAT_GDS748_UP,0.24798,TNBC,False,0.33333333333333337,1.3333333333333337,0.6666666666666667,0.0,0.0,3.333333333333333,1.3333333333333337,0.0,0.0,0.33333333333333337,1.0,0.0,1.6666666666666667,0.6666666666666667,0.0,0.33333333333333337,22.333333333333336
ONCOGENIC_BMI1_DN.V1_DN,0.20156,TNBC,False,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ONCOGENIC_BMI1_DN.V1_UP,0.18331,TNBC,False,3.0,6.6,0.6,0.6,0.2,0.7999999999999999,0.7999999999999999,0.6,0.6,1.7999999999999998,0.6,0.7999999999999999,5.2,0.7999999999999999,0.6,4.4,2.6
ONCOGENIC_BMI1_DN_MEL18_DN.V1_DN,0.67892,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.33161999999999997,TNBC,False,0.5,1.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,1.0,13.5
ONCOGENIC_BRCA1_DN.V1_DN,0.51982,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_BRCA1_DN.V1_UP,0.25676,ER+,False,1.0,2.333333333333333,0.33333333333333337,24.0,0.0,0.0,0.0,0.6666666666666667,0.0,0.0,0.0,5.0,0.0,0.0,1.3333333333333337,1.3333333333333337,0.0
ONCOGENIC_CAHOY_ASTROCYTIC,0.5197,TNBC,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_CAHOY_ASTROGLIAL,0.15103,TNBC,False,3.125,0.8750000000000001,1.5,0.0,0.625,0.0,0.8750000000000001,1.25,0.25,0.5,1.875,0.125,0.625,0.25,0.25,1.5,4.75
ONCOGENIC_CAHOY_NEURONAL,0.4519,ER+,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_OLIGODENDROCUTIC,0.3922,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_DN,0.08712,TNBC,False,1.1851851851851851,2.1111111111111107,0.9259259259259258,3.074074074074073,0.0,0.6296296296296297,1.074074074074074,1.5925925925925926,0.25925925925925924,0.8148148148148148,0.9259259259259258,0.5185185185185185,2.4074074074074074,0.1111111111111111,2.0,0.7037037037037037,3.148148148148148
ONCOGENIC_CAMP_UP.V1_UP,0.30298,ER+,False,0.0,1.5,0.0,4.0,0.0,0.0,0.5,0.0,8.5,1.0,0.0,0.0,1.5,0.5,0.0,1.0,2.0
ONCOGENIC_CORDENONSI_YAP_CONSERVED_SIGNATURE,0.97291,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_CRX_DN.V1_DN,0.001,TNBC,True,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_DN.V1_UP,0.55366,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_CRX_NRL_DN.V1_DN,0.00349,TNBC,False,1.0309278350515465,1.0309278350515465,1.0309278350515465,1.0309278350515465,0.10309278350515463,0.9690721649484536,1.0206185567010309,1.0309278350515465,1.0103092783505154,1.0309278350515465,1.0309278350515465,0.9175257731958764,1.0309278350515465,1.0,1.0309278350515465,0.9896907216494846,1.0309278350515465
ONCOGENIC_CRX_NRL_DN.V1_UP,0.68004,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_EARLY_UP.V1_DN,0.17474,TNBC,False,3.0,0.25,3.25,2.0,0.0,2.25,0.25,0.5,0.0,1.5,3.25,5.0,2.0,0.25,1.7500000000000002,2.0,0.0
ONCOGENIC_CSR_EARLY_UP.V1_UP,0.97764,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_LATE_UP.V1_DN,0.0644,TNBC,False,3.68,1.52,1.84,0.0,3.28,0.72,0.6,1.64,0.48,1.12,2.2,0.48,2.28,2.16,1.76,0.88,1.8
ONCOGENIC_CSR_LATE_UP.V1_UP,0.09318,ER+,False,0.23333333333333334,0.13333333333333333,0.5333333333333333,0.06666666666666668,0.3,0.03333333333333333,0.5,0.7333333333333334,2.9,0.7333333333333334,0.03333333333333333,1.6333333333333333,1.9666666666666663,0.23333333333333334,1.0666666666666669,0.8333333333333334,3.1666666666666665
