,beanie_pval,direction,robust,excluded_BRCA_39,excluded_BRCA_28,excluded_BRCA_11,excluded_BRCA_12,excluded_BRCA_21,excluded_BRCA_17,excluded_BRCA_36,excluded_BRCA_1,excluded_BRCA_15,excluded_BRCA_0,excluded_BRCA_50,excluded_BRCA_30,excluded_BRCA_16
WP_TYPE_III_INTERFERON_SIGNALING,0.15264,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
BROWNE_INTERFERON_RESPONSIVE_GENES,0.9159200000000001,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ZHANG_INTERFERON_RESPONSE,0.55953,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_CYTOPROTECTION_BY_HMOX1,0.14040999999999998,TNBC,False,0.0,0.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,75.0,0.0,48.0,0.0
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,0.9892799999999999,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAM50,0.74945,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WU_ET_AL_BASAL_SC,0.08657000000000001,TNBC,False,0.1016949152542373,0.0,0.0,0.16949152542372886,0.5932203389830508,0.08474576271186443,1.6949152542372885,1.6949152542372885,0.0,1.6949152542372885,0.0,0.7796610169491526,0.0
WU_ET_AL_HER2E_SC,0.07658,TNBC,False,0.16666666666666666,0.0,0.0,5.1111111111111125,0.0,0.22222222222222224,2.1111111111111107,0.3333333333333333,0.0,5.277777777777779,0.0,3.111111111111112,0.0
WU_ET_AL_LUMA_SC,0.93515,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WU_EL_AL_LUMB_SC,0.43964,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_ADIPOGENESIS,0.015059999999999999,TNBC,False,1.0,0.98,0.98,1.0,0.93,0.97,1.0,1.0,0.28,1.0,0.69,1.0,0.99
HALLMARK_ALLOGRAFT_REJECTION,0.59377,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
HALLMARK_ANDROGEN_RESPONSE,0.943,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ANGIOGENESIS,0.1104,ER+,False,0.0,0.2,0.2,0.0,4.4,7.8,0.0,0.6,11.0,10.4,20.0,10.2,0.0
HALLMARK_APICAL_JUNCTION,0.7890199999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APICAL_SURFACE,0.9163399999999999,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APOPTOSIS,0.41756000000000004,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
HALLMARK_BILE_ACID_METABOLISM,0.19465,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.11939000000000001,TNBC,False,0.1,0.0,0.0,2.8999999999999995,0.1,1.1,9.7,1.4,0.0,8.7,0.0,2.1,0.1
HALLMARK_COAGULATION,0.38556999999999997,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
HALLMARK_COMPLEMENT,0.65769,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_DNA_REPAIR,0.02327,TNBC,False,1.0,0.86,0.89,1.0,0.93,1.0,1.0,1.0,0.21,1.0,0.29,1.0,0.87
HALLMARK_E2F_TARGETS,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.68904,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.57572,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
HALLMARK_ESTROGEN_RESPONSE_LATE,0.96139,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_FATTY_ACID_METABOLISM,0.05482000000000001,TNBC,False,0.7272727272727273,0.011363636363636364,0.17045454545454544,1.0909090909090908,0.09090909090909093,0.09090909090909093,1.1022727272727273,1.1363636363636365,0.011363636363636364,1.1363636363636365,0.022727272727272728,0.9886363636363636,0.05681818181818182
HALLMARK_G2M_CHECKPOINT,2e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_GLYCOLYSIS,0.034460000000000005,TNBC,False,0.989247311827957,0.3655913978494624,0.6451612903225806,1.075268817204301,0.956989247311828,0.9677419354838708,0.6344086021505375,0.9032258064516128,0.0,1.075268817204301,0.01075268817204301,1.010752688172043,0.6451612903225806
HALLMARK_HEDGEHOG_SIGNALING,0.9583200000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HEME_METABOLISM,0.06856,TNBC,False,0.7560975609756098,0.4878048780487805,0.2682926829268293,1.7560975609756098,0.1951219512195122,0.14634146341463414,2.4390243902439024,0.5853658536585366,0.0,2.414634146341464,0.0,1.3170731707317074,0.04878048780487805
HALLMARK_HYPOXIA,0.10588,TNBC,False,1.1666666666666667,0.33333333333333337,2.833333333333333,16.166666666666668,0.33333333333333337,1.3333333333333337,3.5,0.0,0.0,10.833333333333336,0.0,2.833333333333333,3.8333333333333335
HALLMARK_IL2_STAT5_SIGNALING,0.77191,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.59596,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INFLAMMATORY_RESPONSE,0.12780999999999998,ER+,False,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
HALLMARK_KRAS_SIGNALING_DN,0.081,ER+,False,14.666666666666668,12.0,0.0,27.000000000000004,6.333333333333334,11.000000000000002,0.0,0.0,0.6666666666666667,22.333333333333336,0.0,1.0,0.0
HALLMARK_KRAS_SIGNALING_UP,0.2095,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
HALLMARK_MITOTIC_SPINDLE,0.17682,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MTORC1_SIGNALING,0.0027199999999999998,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53,1.0,0.99,1.0,1.0
HALLMARK_MYC_TARGETS_V1,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MYC_TARGETS_V2,0.00461,TNBC,False,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.34,1.0,1.0,1.0,1.0
HALLMARK_MYOGENESIS,0.23016,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
HALLMARK_NOTCH_SIGNALING,0.63942,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.020640000000000002,TNBC,False,1.0,0.35,0.97,1.0,0.98,1.0,1.0,1.0,0.21,1.0,0.4,1.0,0.65
HALLMARK_P53_PATHWAY,0.8813,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_PANCREAS_BETA_CELLS,0.23651,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
HALLMARK_PEROXISOME,0.01174,TNBC,False,0.98,0.61,0.7,0.99,0.7,0.94,1.0,1.0,0.15,1.0,0.36,1.0,0.57
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.05596,TNBC,False,1.0217391304347825,0.1847826086956522,0.6304347826086956,1.0869565217391304,0.6630434782608695,0.9021739130434782,0.7499999999999999,0.10869565217391304,0.010869565217391304,1.0869565217391304,0.0,0.9782608695652174,0.5978260869565217
HALLMARK_PROTEIN_SECRETION,0.16378,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.07787999999999999,TNBC,False,1.7222222222222223,0.0,0.0,1.1111111111111112,0.4444444444444445,2.4444444444444446,1.8888888888888893,1.3888888888888888,0.22222222222222224,5.388888888888888,0.05555555555555556,2.7222222222222223,0.0
HALLMARK_SPERMATOGENESIS,0.16285,TNBC,False,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
HALLMARK_TGF_BETA_SIGNALING,0.7751,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.59482,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.00402,TNBC,False,1.0,0.99,0.99,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.85,1.0,1.0
HALLMARK_UV_RESPONSE_DN,0.45903999999999995,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UV_RESPONSE_UP,0.00498,TNBC,False,1.0101010101010102,0.8787878787878788,0.98989898989899,1.0101010101010102,1.0,1.0101010101010102,1.0101010101010102,1.0,0.14141414141414144,1.0101010101010102,0.20202020202020204,1.0101010101010102,0.7676767676767677
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.6381399999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_XENOBIOTIC_METABOLISM,0.71787,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP.V1_DN,0.74545,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP.V1_UP,0.84104,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_DN,0.9492200000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_UP,0.9608200000000001,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_ALK_DN.V1_DN,0.0505,ER+,False,1.24,1.28,1.04,2.0,1.46,0.66,0.0,0.32,0.14,1.64,0.0,1.88,0.82
ONCOGENIC_ALK_DN.V1_UP,0.65074,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_S_UP.V1_DN,0.6957300000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_S_UP.V1_UP,0.35899000000000003,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_ATF2_UP.V1_DN,0.70145,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_UP.V1_UP,0.4209,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATM_DN.V1_DN,0.23934,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATM_DN.V1_UP,0.08096,ER+,False,0.9454545454545454,0.7090909090909091,0.3454545454545454,1.0181818181818183,1.3090909090909089,0.054545454545454536,0.3090909090909091,0.0,0.3272727272727272,1.7636363636363634,1.1454545454545453,0.8545454545454544,0.2909090909090909
ONCOGENIC_BCAT.100_UP.V1_DN,0.8241799999999999,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_UP,0.79402,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_BILD_ET_AL_DN,0.42504,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_BILD_ET_AL_UP,0.31742,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_DN,0.49845,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_UP,0.59304,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN.V1_DN,0.6671199999999999,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN.V1_UP,0.6219100000000001,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_DN,0.55848,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.27314,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
ONCOGENIC_BRCA1_DN.V1_DN,0.45668000000000003,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BRCA1_DN.V1_UP,0.08237,ER+,False,0.8085106382978724,0.6382978723404256,0.7872340425531915,2.0638297872340425,0.297872340425532,0.14893617021276598,1.3829787234042554,0.0,0.0,2.127659574468085,0.0,1.5106382978723405,0.021276595744680854
ONCOGENIC_CAHOY_ASTROCYTIC,0.12579,TNBC,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
ONCOGENIC_CAHOY_ASTROGLIAL,0.8115399999999999,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_NEURONAL,0.4452,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_OLIGODENDROCUTIC,0.8496299999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_DN,0.87272,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_UP,0.00072,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CORDENONSI_YAP_CONSERVED_SIGNATURE,0.42018,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_DN.V1_DN,0.78012,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_DN.V1_UP,0.74322,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_NRL_DN.V1_DN,0.77598,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_NRL_DN.V1_UP,0.09826,TNBC,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
ONCOGENIC_CSR_EARLY_UP.V1_DN,0.69226,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_EARLY_UP.V1_UP,0.15113,TNBC,False,0.0,0.0,1.0,83.0,1.0,4.0,43.0,0.0,0.0,56.99999999999999,0.0,5.0,0.0
ONCOGENIC_CSR_LATE_UP.V1_DN,0.44432,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_LATE_UP.V1_UP,0.06716,TNBC,False,0.6538461538461539,0.0,0.019230769230769232,1.9230769230769231,0.6346153846153846,0.8461538461538461,0.7115384615384615,1.0192307692307692,0.0,1.9230769230769231,0.0,1.4615384615384617,0.0
ONCOGENIC_CTIP_DN.V1_DN,0.29973,ER+,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_CTIP_DN.V1_UP,0.0966,ER+,False,1.5,0.375,2.25,4.125,0.625,0.125,0.5,0.625,0.0,10.375,0.0,6.625,0.0
ONCOGENIC_CYCLIN_D1_KE_.V1_DN,0.49868999999999997,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_KE_.V1_UP,0.52994,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_UP.V1_DN,0.13021,TNBC,False,8.0,0.0,0.5,1.0,0.0,1.0,42.0,0.0,0.0,32.0,0.0,7.5,0.0
ONCOGENIC_CYCLIN_D1_UP.V1_UP,0.9038200000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_DCA_UP.V1_DN,0.9023,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_DCA_UP.V1_UP,0.40776999999999997,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F1_UP.V1_DN,0.78656,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F1_UP.V1_UP,0.00674,TNBC,False,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.29,1.0,1.0,1.0,0.99
ONCOGENIC_E2F3_UP.V1_DN,0.9566399999999999,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F3_UP.V1_UP,0.0086,TNBC,False,0.99,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.19,1.0,0.5,1.0,1.0
ONCOGENIC_EGFR_UP.V1_DN,0.57408,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_EGFR_UP.V1_UP,0.9113,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_EIF4E_DN,0.74419,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_EIF4E_UP,0.00202,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.97,1.0,0.99
ONCOGENIC_ERBB2_UP.V1_DN,0.26182,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_ERBB2_UP.V1_UP,0.46493,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_EARLY.V1_DN,0.71359,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_EARLY.V1_UP,0.69567,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_LATE.V1_DN,0.62966,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_LATE.V1_UP,0.9328200000000001,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_DN,0.47623999999999994,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_UP,0.14239000000000002,TNBC,False,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
ONCOGENIC_ESC_V6.5_UP_LATE.V1_DN,0.54075,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_LATE.V1_UP,0.00762,TNBC,False,1.0,1.0,0.99,1.0,0.91,0.98,1.0,1.0,0.14,1.0,0.43,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_DN,0.40183,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_UP,0.00674,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_LATE.V1_DN,0.29181999999999997,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_LATE.V1_UP,0.02712,TNBC,False,0.98989898989899,0.7575757575757576,0.7777777777777778,1.0101010101010102,0.6565656565656566,0.898989898989899,0.9595959595959596,1.0101010101010102,0.18181818181818185,1.0101010101010102,0.393939393939394,1.0,0.7474747474747475
ONCOGENIC_GLI1_UP.V1_DN,0.28515999999999997,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
